iso_alpha_3,n_futures,meets_ndc_unconditional_target,meets_ndc_conditional_target,region,2020_edgar_ghg_mt,unconditional_target,conditional_target,2030_q1_mean_value
JAM,990,0.672727273,0.486868687,Jamaica,7.496857881,7.291481754,6.995881142,6.334496069
TTO,997,0.708124373,0.311935807,Trinidad and Tobago,47.25523587,43.8801987,40.71933693,38.76983556
DOM,988,0.725708502,0,Dominican Republic,40.74528839,48.76945614,38.27476305,44.02319517
STP,993,0.731117825,0.357502518,Sao Tome and Principe,0.261841719,0.263428248,0.197571186,0.144822691
MAR,994,0.746478873,0,Morocco,108.0091368,145.2270518,96.90128309,133.8379924
ETH,981,0.806320082,0,Ethiopia,179.2024393,292.1185349,106.6291378,226.9920555
URY,985,0.818274112,0.634517766,Uruguay,40.83852277,49.89428107,46.08373931,36.92540899
BEN,987,0.824721378,0.824721378,Benin,19.05826073,24.42176296,24.42176296,16.45882307
MDV,981,0.921508665,0.651376147,Maldives,2.278440425,4.141385842,3.232301145,2.029897889
GTM,986,0.944219067,0.494929006,Guatemala,41.61448502,67.87822841,59.45686375,53.4323079
CPV,991,0.952573158,0.952573158,Cape Verde,1.178623078,1.494683392,1.494683392,0.508012571
SVN,999,0.95995996,0.95995996,Slovenia,18.1181957,18.00557432,18.00557432,16.33946426
FRA,994,0.977867203,0.977867203,France,405.7152776,413.9873952,413.9873952,354.8633327
IND,984,0.985772358,0.985772358,India,3519.121452,5071.941757,5071.941757,4418.499069
GNQ,986,0.990872211,0.315415822,Equatorial Guinea,12.71455778,13.04824728,8.665629875,7.668046331
PRT,989,0.990899899,0.990899899,Portugal,58.4305868,42.54700398,42.54700398,35.93178503
TGO,982,0.99796334,0.655804481,Togo,10.38022362,25.06334718,15.53513255,9.121258096
ALB,992,1,1,Albania,7.863103832,11.29778233,11.29778233,0.327483384
ARM,995,1,0.541708543,Armenia,9.802551076,14.67355622,10.30064211,8.679233927
BEL,989,1,1,Belgium,116.7932574,124.5921141,124.5921141,97.8038735
BGR,996,1,1,Bulgaria,56.07557291,77.89225368,77.89225368,58.00408457
