iso_alpha_3,n_futures,meets_ndc_unconditional_target,meets_ndc_conditional_target,Country,2020_edgar_ghg_mt,unconditional_target,conditional_target,2030_q1_mean_value
AFG,50,0.16,0.1,Afghanistan,28.150674188763002,42.41942189884976,37.332373237865845,40.06108150663036
ALB,48,1.0,1.0,Albania,7.8631038319776,11.297782330078553,11.297782330078553,-0.3608500196677846
ARG,50,0.0,0.0,Argentina,359.02566397894,320.5920306367053,320.5920306367053,397.51364290599474
ARM,49,0.46938775510204084,1.0,Armenia,9.802551076225999,10.300642114275488,14.67355621939244,8.961660350644523
AUT,49,0.0,0.0,Austria,78.30591695941,36.05677299809944,36.05677299809944,77.44957828123975
AZE,50,0.04,0.08,Azerbaijan,63.53125494056698,62.7965954728458,66.0888441675387,67.61655928194453
BDI,50,0.16,0.04,Burundi,7.140930558539598,7.34825104309207,6.6531462146914695,7.082655428634215
BEL,49,0.0,0.0,Belgium,116.79325740379002,50.26711755639248,50.26711755639248,111.6589338495805
BEN,50,0.84,0.84,Benin,19.058260731720996,24.42176295597574,24.42176295597574,15.490719136390949
BFA,49,0.24489795918367346,0.02040816326530612,Burkina Faso,34.40499972753799,56.679106331118625,49.916258416610155,53.233577814229406
BGD,48,0.0,0.0,Bangladesh,269.0310959658099,436.896424718486,366.06381945375506,490.4015617207155
BGR,50,1.0,1.0,Bulgaria,56.07557290606001,88.76438379153853,88.76438379153853,61.07708655307057
BLR,48,0.0,0.0,Belarus,100.06064448546005,88.16559330679345,81.33912348382648,99.1565314595913
BOL,49,0.0,0.0,Bolivia,53.94886780331299,35.779814265051684,35.779814265051684,75.31258957107153
BRA,50,0.0,0.0,Brazil,1277.6893793479003,1037.367139946578,1037.367139946578,1308.1626318737613
BRB,50,0.0,0.0,Barbados,0.9195828058714801,0.28936587474279146,0.14468293737139573,0.9862667878164774
BTN,48,0.1875,0.0,Bhutan,3.4094458111067003,4.072598692144921,0.0,3.6911315163788587
BWA,48,0.0,0.0,Botswana,10.586858129068002,4.453492929219932,3.649117554338799,12.364092822071898
CAF,50,0.0,0.0,Central African Republic,12.858198923177,3.6104305648824577,3.101267280091342,9.589250810296473
CAN,50,0.0,0.0,Canada,711.4686388312298,416.56418872987643,416.56418872987643,707.4397458658385
CHL,49,0.0,0.0,Chile,128.96492094264997,122.25864740756161,122.25864740756161,150.32696342806793
