iso_alpha_3,n_futures,meets_ndc_unconditional_target,meets_ndc_conditional_target,Country,2020_edgar_ghg_mt,unconditional_target,conditional_target,2030_q1_mean_value
AFG,94,0.13829787234042554,0.10638297872340426,Afghanistan,28.150674188763002,42.41942189884976,37.332373237865845,38.92871562526603
ALB,100,1.0,1.0,Albania,7.8631038319776,11.297782330078553,11.297782330078553,-0.36887894826194967
ARG,98,0.0,0.0,Argentina,359.02566397894,320.5920306367053,320.5920306367053,410.02927175798993
ARM,97,0.5154639175257731,1.0,Armenia,9.802551076225999,10.300642114275488,14.67355621939244,8.936555936226542
AUT,98,0.0,0.0,Austria,78.30591695941,36.05677299809944,36.05677299809944,77.70974206997204
AZE,97,0.010309278350515464,0.041237113402061855,Azerbaijan,63.53125494056698,62.7965954728458,66.0888441675387,69.64531776583428
BDI,100,0.18,0.08,Burundi,7.140930558539598,7.34825104309207,6.6531462146914695,6.863935106545935
BEL,99,0.0,0.0,Belgium,116.79325740379002,50.26711755639248,50.26711755639248,110.68665733512766
BEN,98,0.7346938775510204,0.7346938775510204,Benin,19.058260731720996,24.42176295597574,24.42176295597574,16.762057615790617
BFA,96,0.1875,0.020833333333333332,Burkina Faso,34.40499972753799,56.679106331118625,49.916258416610155,54.637158397642644
BGD,98,0.0,0.0,Bangladesh,269.0310959658099,436.896424718486,366.06381945375506,486.9667512846299
BGR,99,1.0,1.0,Bulgaria,56.07557290606001,88.76438379153853,88.76438379153853,61.93056312592743
BLR,95,0.010526315789473684,0.0,Belarus,100.06064448546005,88.16559330679345,81.33912348382648,100.59251487628404
BOL,100,0.0,0.0,Bolivia,53.94886780331299,35.779814265051684,35.779814265051684,73.6462219005299
BRA,99,0.0,0.0,Brazil,1277.6893793479003,1037.367139946578,1037.367139946578,1312.6336960729511
BRB,100,0.0,0.0,Barbados,0.9195828058714801,0.28936587474279146,0.14468293737139573,0.9666432251179369
BTN,96,0.1875,0.0,Bhutan,3.4094458111067003,4.072598692144921,0.0,3.4477817441113587
BWA,100,0.0,0.0,Botswana,10.586858129068002,4.453492929219932,3.649117554338799,11.913286956370753
CAF,100,0.0,0.0,Central African Republic,12.858198923177,3.6104305648824577,3.101267280091342,9.564434474253751
CAN,100,0.0,0.0,Canada,711.4686388312298,416.56418872987643,416.56418872987643,720.1352386313082
CHL,99,0.0,0.0,Chile,128.96492094264997,122.25864740756161,122.25864740756161,147.72652051064057
CHN,100,0.0,0.0,China,14879.556512037963,16164.513539920015,16164.513539920015,18295.235201097945
CIV,100,0.35,0.0,Ivory Coast,33.634984747311,52.68021648216591,0.810464868956399,45.73983079872133
CMR,97,0.0,0.0,Cameroon,43.534233047172,35.911710558421134,26.834028167264677,50.79858614012371
COM,100,0.0,0.0,Comoros,0.8666554232509801,-1.9870396927290976,-2.7512857283941345,1.212792273412335
CPV,100,0.72,0.72,Cape Verde,1.1786230784557998,1.4946833915146513,1.4946833915146513,0.9808350947143153
CRI,100,0.08,0.08,Costa Rica,15.058801681291001,19.35202793361465,19.35202793361465,19.32289385874418
CYP,100,0.0,0.0,Cyprus,9.5355751248335,3.441971350180872,3.441971350180872,9.856594014735748
CZE,99,0.0,0.0,Czechia,117.49199972133997,52.05248757611025,52.05248757611025,116.4140355254184
DEU,100,0.0,0.0,Germany,751.3389639749104,262.76456808490104,262.76456808490104,699.6325329264118
DNK,98,0.0,0.0,Denmark,44.054006520252,20.575243164177625,20.575243164177625,39.53074583918027
DOM,98,0.3979591836734694,0.0,Dominican Republic,40.745288386065006,48.76945614113569,38.274763047473584,45.85889631905508
DZA,100,0.0,0.0,Algeria,265.21172615313,280.26269013346854,234.44397196170053,547.1683924895342
ECU,97,0.0,0.0,Ecuador,65.79889010895502,62.17703187777377,62.17703187777377,83.3504542593268
ESP,99,0.0,0.0,Spain,291.90323406975,167.09717190171563,167.09717190171563,272.06998240490657
ETH,99,0.7575757575757576,0.0,Ethiopia,179.20243934681997,292.11853489983923,106.62913781094075,219.66303541192804
FIN,100,0.0,0.0,Finland,58.14192498202598,15.926351200129826,15.926351200129826,45.98676409272662
FJI,99,0.0,0.0,Fiji,2.7847239257771004,-2.060356319542136,-0.3433927199236892,2.1202867600540167
FRA,100,0.0,0.0,France,405.7152776169599,270.7538818695114,270.7538818695114,332.7962045898055
GAB,97,0.0,0.0,Gabon,20.013452876023,0.0,0.0,17.798542682360488
GBR,100,0.0,0.0,United Kingdom,407.94086512663,260.94782731560827,260.94782731560827,338.3786944576376
GEO,98,1.0,0.35714285714285715,Georgia,17.309271925009003,29.277515486913316,20.883961558924515,19.228243529697373
GHA,100,1.0,1.0,Ghana,49.469238562719994,254.71864438601708,139.36330428476336,78.34072803812937
GIN,99,0.0,0.0,Guinea,27.240035588157998,22.407010501135705,21.280030683031253,32.275112506753935
GNB,97,1.0,1.0,Guinea Bissau,3.137612120737399,12.307753845219164,9.638602408906575,1.5317511027758683
GNQ,98,0.8673469387755102,0.030612244897959183,Equatorial Guinea,12.714557782146999,13.048247283457922,8.66562987527358,9.427688750597396
GRC,100,0.01,0.01,Greece,71.93346957182301,49.34101288050373,49.34101288050373,56.78369429012098
GTM,100,0.57,0.07,Guatemala,41.614485020202004,67.87822840883393,59.456863748246164,60.74747416455608
GUY,97,0.0,0.0,Guyana,7.273784267789798,6.451751918879075,6.451751918879075,8.963947365309219
HND,98,0.02040816326530612,0.0,Honduras,21.604987837324003,25.873818302725603,22.40923294595038,28.17799603338761
HRV,97,0.12371134020618557,0.12371134020618557,Croatia,24.329266268488006,20.70490758137187,20.70490758137187,20.698377504052527
HTI,99,0.9797979797979798,0.5151515151515151,Haiti,14.774369041582002,22.791241874209593,16.68866891335566,13.57683680778006
HUN,100,0.0,0.0,Hungary,68.09821299335101,43.3477502402111,43.3477502402111,60.154382924182
IND,98,0.09183673469387756,0.8775510204081632,India,3519.121452159698,4380.274078937697,5071.941756664223,4419.95810906798
IRL,99,0.0,0.0,Ireland,59.462781113421,24.45056885675312,24.45056885675312,55.80567796585396
IRQ,100,0.01,0.01,Iraq,329.5278120227999,432.13202721199883,432.13202721199883,497.7059029134449
ISL,100,0.96,0.96,Iceland,4.2655714841309,7.826988977223388,7.826988977223388,4.825875218308995
ISR,99,0.0,0.0,Israel,83.57563566355701,57.209004870235844,57.209004870235844,88.62369826392934
ITA,98,0.0,0.0,Italy,367.41464717024013,205.2538316425503,205.2538316425503,323.4539225500526
JAM,99,0.31313131313131315,0.18181818181818182,Jamaica,7.4968578808768,7.291481754069547,6.995881142418079,6.756079042920857
JOR,100,0.4,0.0,Jordan,31.501563227132,40.08024956827918,29.14927241329395,35.5727820869187
JPN,100,0.0,0.0,Japan,1161.7754201793998,834.3802237270779,834.3802237270779,1070.5452069607243
KEN,100,1.0,0.59,Kenya,109.71058087856998,196.2474539900821,134.76911341042575,119.93713497150405
KGZ,99,0.030303030303030304,0.0,Kyrgyzstan,20.331201307087007,19.713153463087266,13.247239127194645,20.97255684203966
KHM,95,0.3473684210526316,0.0,Cambodia,48.596171546765,96.13220838455052,56.48689226688103,83.34023869029109
KWT,100,0.0,0.0,Kuwait,148.89459560259002,166.79637733044433,166.79637733044433,182.53702756962187
LBY,100,0.0,0.0,Libya,69.47549565087898,51.49645468666469,51.49645468666469,82.0441067079183
LTU,100,0.01,0.01,Lithuania,22.711257428694992,9.858337192321914,9.858337192321914,12.612642068051123
LUX,100,0.0,0.0,Luxembourg,8.980767458553101,5.333016374341985,5.333016374341985,8.173726046042413
LVA,99,1.0,1.0,Latvia,11.641339990601,7.143664619092014,7.143664619092014,1.7082034949974212
MAR,98,0.29591836734693877,0.0,Morocco,108.00913676944998,145.22705184356226,96.90128308736399,140.04501895651515
MDG,98,0.0,0.0,Madagascar,35.02942516295299,1.424903441515513,-86.9191099324466,32.58787227797374
MDV,97,0.9072164948453608,0.7422680412371134,Maldives,2.2784404248146,4.141385842340663,3.232301145241493,2.0850049561218675
MEX,97,0.0,0.0,Mexico,739.31648326809,764.1935773931757,705.3547052436857,917.492719516878
MKD,100,0.7,0.0,North Macedonia,10.386553461564,11.609545542822243,6.497085120295015,10.38596858241814
MLI,97,0.0,0.0,Mali,45.586830318626006,-200.60179389998854,-359.7199158575522,74.15682185405109
MLT,99,0.0,0.0,Malta,2.0870018972972004,0.9088534783725027,0.9088534783725027,2.414833997137439
MMR,98,0.0,0.0,Myanmar,163.50660939586,88.43931343071824,66.09446645599058,195.06578290004137
MNG,99,0.2222222222222222,0.20202020202020202,Mongolia,64.73211110539899,68.41701546046538,65.60885437813283,59.406045111879486
MOZ,97,0.010309278350515464,0.15463917525773196,Mozambique,34.71071952043201,30.791174816511806,38.948417987797136,38.220527079016804
MRT,99,0.10101010101010101,0.0,Mauritania,15.767957934438998,18.00364443261973,1.519788166389975,18.564143918820385
MUS,96,0.19791666666666666,0.0,Mauritius,5.7323867039659,6.168451207736238,3.6653115872055904,5.948730480971665
MWI,99,0.7171717171717171,0.020202020202020204,Malawi,18.944151751283997,24.110676908912353,19.288541527129883,20.516570990171182
NER,99,1.0,1.0,Niger,39.87859903990398,93.8865624412186,81.36835411572278,51.39655592498548
NGA,100,0.0,0.0,Nigeria,408.2454657058299,456.21043321588735,316.2692845268905,544.3263598286434
NIC,98,1.0,1.0,Nicaragua,19.83910066061,43.176789408372564,42.36213300444101,21.790934411685512
NLD,100,0.0,0.0,Netherlands,176.88179351788995,72.37562333405295,72.37562333405295,163.17550566671125
NPL,96,0.0,0.0,Nepal,55.48455353870698,54.971309675044516,54.971309675044516,95.74829403651471
NZL,100,0.0,0.0,New Zealand,85.20868198048599,52.16180913207583,52.16180913207583,86.03143203749254
PAK,98,1.0,0.8877551020408163,Pakistan,527.4360540250301,1518.8125051865352,903.4126664660234,737.6753809388084
PAN,98,0.0,0.0,Panama,16.464461096012002,16.66081414488934,15.752042464259013,18.529333209125497
PER,100,0.0,0.0,Peru,89.32034332899602,102.7741602599772,88.10620060601492,126.04010579909483
PHL,98,0.1836734693877551,0.0,Philippines,242.64269332409,346.6629111129751,90.79771235446812,335.37991313661195
PNG,98,0.20408163265306123,0.0,Papua New Guinea,8.8850881099098,9.076216055802352,0.62481197485596,8.406897291587498
POL,100,0.0,0.0,Poland,374.33485445496996,163.8310635581303,163.8310635581303,441.13077755477235
PRT,98,0.6836734693877551,0.6836734693877551,Portugal,58.430586799006974,36.13927981921709,36.13927981921709,31.888701941232394
PRY,100,0.0,0.0,Paraguay,43.491442133597985,41.03772766813041,36.45821959682224,54.68491665351151
ROU,100,0.07,0.07,Romania,114.43533826579996,99.54719305385409,99.54719305385409,101.9748108489353
RUS,100,0.29,0.29,Russia,2432.5119663695,3112.8261525782073,3112.8261525782073,2807.662715079841
RWA,100,0.73,0.06,Rwanda,8.7325174985479,11.070095676071203,8.471029734732749,8.679284837856544
SEN,100,0.0,0.0,Senegal,28.466894470259994,29.959207933754275,23.132042586920193,34.33398084422199
SLE,96,0.28125,0.07291666666666667,Sierra Leone,6.870744919873199,7.026824900965634,6.294863973781713,6.3656595089413175
SLV,99,0.0,0.0,El Salvador,11.793275891736,11.412381745086195,11.222175382668095,19.400351223768492
STP,97,0.6907216494845361,0.010309278350515464,Sao Tome and Principe,0.26184171881565993,0.26342824836999934,0.19757118627749948,0.22065549944064483
SUR,100,0.0,0.0,Suriname,3.8049742780136997,2.6374585005044535,2.6374585005044535,4.778178203987915
SVK,99,0.0,0.0,Slovakia,42.43089119550001,21.542650796766797,21.542650796766797,44.891877638441876
SVN,100,0.0,0.0,Slovenia,18.118195702812,10.011016690660826,10.011016690660826,17.001934847453285
SWE,100,0.0,0.0,Sweden,62.775179120063,39.494207255339134,39.494207255339134,56.876012457946814
SYC,99,1.0,0.5050505050505051,Seychelles,1.1317567994937998,1.6193836277106826,1.177733547425951,0.9866979332802457
TCD,95,0.0,0.0,Chad,82.08506090274001,62.97038000800364,51.28742735774391,133.86616318936788
TGO,98,1.0,0.826530612244898,Togo,10.380223617580002,25.063347183748327,15.535132551910122,8.837826849913734
TJK,98,0.0,0.0,Tajikistan,21.19105851949,28.02389579280785,23.749064231193092,31.302917953472765
TKM,99,0.0,0.0,Turkmenistan,123.48316771062,99.03897507390164,99.03897507390164,170.73666611640053
TTO,100,0.08,0.01,Trinidad and Tobago,47.255235869181995,43.880198697565845,40.71933692697847,44.69284245408874
TUN,100,0.0,0.0,Tunisia,42.089327691780014,45.18568645386682,34.08166131556865,50.13990031935354
TUR,100,1.0,0.29,Türkiye,614.4939647831899,1517.1041540118304,897.3509676921038,836.8514071234167
TZA,99,0.5656565656565656,0.0,United Republic of Tanzania,85.14571331551298,109.67642819657982,72.96860191158322,89.99111039868757
UGA,97,1.0,1.0,Uganda,53.92462503479899,127.0048603739598,101.62201890022052,58.23662890378552
UKR,99,1.0,1.0,Ukraine,274.46086477694,236.59339445056204,353.3463455061559,165.29374914184896
URY,99,0.7373737373737373,0.47474747474747475,Uruguay,40.838522768925976,49.89428106560197,46.083739313575094,40.04407362732286
USA,99,0.0,0.0,United States of America,5615.567418096603,3491.492729557548,3491.492729557548,5689.064616494197
UZB,100,0.0,1.0,Uzbekistan,211.86163804398,215.38097997748537,413.6905033443775,233.45290761423828
ZMB,99,0.0,0.0,Zambia,28.953793101269007,21.743777541306848,15.295622822160677,33.279935341591724
ZWE,95,0.021052631578947368,0.0,Zimbabwe,28.341566540534004,18.85874090959399,11.180181945077605,22.67168077568672
