IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Middle_East,JOR,Jordan,GWP_100_AR5_GHG,3565.278641,3674.99214,3278.449545,3645.367185,3875.8442,4199.963506,4788.865878,4966.033391,5854.151261,6254.766622,7634.170866,8728.313074,9244.465421,10507.83599,11412.35707,11764.62522,12363.41983,13749.89382,13441.9356,11441.4749,12120.92874,12435.95148,14567.66729,15148.41205,15680.315,16651.76005,17000.34789,17550.54081,17865.46681,18017.70504,19704.6926,19930.74207,20860.06138,21521.27546,23110.80314,24765.44244,25141.22721,26238.97031,25912.51739,26435.24875,26145.6691,26948.63793,30741.87264,30465.56021,32612.1616,32653.6603,32834.04843,34379.19713,33372.47984,31899.16068,29998.69483,31306.19663,33338.39651,34400.6841,34855.73492
Annex_I,Japan,JPN,Japan,GWP_100_AR5_GHG,979609.9253,972557.4582,1018108.544,1133041.056,1127992.229,1070994.439,1107012.652,1137191.363,1134374.324,1161286.547,1132579.061,1108207.725,1066550.003,1071023.148,1145407.26,1118181.39,1114977.369,1118997.057,1194014.486,1225823.935,1295844.796,1310273.75,1320998.869,1317028.947,1380294.728,1399297.532,1414674.928,1396834.756,1342210.27,1373272.699,1377782.196,1356372.991,1384755.164,1389219.234,1380390.561,1389604.745,1359712.635,1393908.978,1319317.004,1250645.662,1313160.167,1363179.823,1401341.79,1417740.577,1366667.424,1324422.547,1320935.404,1305690.411,1254598.422,1215140.835,1151067.658,1172125.15,1142304.623,1094024.251,1063335.849
Non-Annex_I,Asia-Stan,KAZ,Kazakhstan,GWP_100_AR5_GHG,262378.5412,263152.3899,276564.1651,292036.7084,300867.2017,312153.799,320289.586,323346.1287,337071.7252,341571.6203,349412.199,333314.5582,323331.2865,318315.3205,315047.3255,303792.6026,305386.1945,321083.3761,328742.8159,327700.2672,342267.8912,348412.368,352785.796,307345.109,273844.8211,237162.3584,208191.6281,181035.602,180599.9816,165691.9688,172308.4565,171780.1867,187757.8163,207631.5465,222289.444,237256.3539,263572.8888,274775.7871,308177.216,283787.2284,304015.4012,327490.2139,322818.848,340362.3045,298219.031,262973.623,278612.2866,293319.2686,298679.4769,288133.7468,296352.8187,315643.819,322932.182,326862.8859,330393.3459
Non-Annex_I,Eastern_Africa,KEN,Kenya,GWP_100_AR5_GHG,22934.52962,23363.33339,24041.72163,24421.94479,24745.04453,24988.01899,25370.05849,26140.97335,27754.59451,29544.15823,28147.32398,27945.50631,29647.5025,31767.11967,33344.20534,33270.06994,34464.15239,34790.35447,36621.33319,38001.45428,38457.80283,37604.81412,38008.60125,38402.44618,38949.97306,39574.8136,38735.68312,38654.08782,39630.28534,42410.81038,41383.8465,42312.41214,44708.26506,46040.63921,50411.00873,52898.14171,51632.40531,71434.85518,76178.89264,75153.5215,78737.63525,79543.61972,77936.86122,77881.01353,79970.04032,82133.36004,88437.76122,85544.51341,88435.41667,97220.21474,108577.1567,102160.1879,105155.1493,100576.0527,102836.1518
Non-Annex_I,Asia-Stan,KGZ,Kyrgyzstan,GWP_100_AR5_GHG,22988.49621,23335.20288,24483.68165,25479.00881,26474.38399,27734.55093,28446.6188,29019.20786,30156.84061,30797.6689,32005.05782,31037.98344,29994.56181,28994.63721,28207.13323,27687.46376,27656.43399,29512.00452,30152.06492,30222.51813,33367.34772,30628.20668,22637.30868,18251.69785,13737.80977,10534.40955,11339.39522,11715.38636,12087.48776,10931.99759,10898.47805,10078.93204,11167.79625,11853.73196,11798.24627,11894.69517,11990.12957,13346.0509,14739.48406,14631.07986,14357.62695,16402.11175,18591.49394,18502.12483,19400.57479,19870.99135,19631.04855,19996.8024,22129.13644,21225.75319,20399.3983,21829.00095,21953.45272,21717.11273,22368.96099
Non-Annex_I,Southeastern Asia,KHM,Cambodia,GWP_100_AR5_GHG,16429.84246,13823.44781,11662.11164,9266.59399,7877.608896,8006.164445,6993.463566,6367.550308,6159.978463,5606.732883,7846.703613,7658.179183,10110.022,10489.19814,9010.874181,10756.54601,11736.4563,11546.75249,13244.25763,14305.76725,14577.03367,14547.21728,14910.33258,15367.71463,14823.75349,19008.99721,19146.77666,19493.58602,19667.6848,20370.07611,20451.53923,21006.01106,20892.92104,22871.12456,22396.90262,25148.50961,26598.8578,27873.43067,28792.65613,30308.55344,30973.31459,32139.08565,32002.71217,31983.29864,33402.24352,35173.49755,37872.39985,39820.0598,40686.72213,44000.72363,46956.90729,48336.93419,47104.21523,48981.79675,49834.75492
Non-Annex_I,Oceania,KIR,Kiribati,GWP_100_AR5_GHG,27.76063073,28.33820568,29.98301699,34.4838578,40.36214178,35.58829454,35.56118778,37.29097495,37.40315755,39.6667962,42.15210384,42.02205837,41.87948668,41.7949026,26.2055192,27.86883519,26.73318338,31.37268854,31.73506468,31.4470952,33.0652524,33.5044231,35.30805798,35.75282792,36.50809702,34.84296175,35.45079318,36.36837245,37.39463177,37.70908826,52.16092609,49.27909838,64.44250175,66.33536497,68.42437707,84.40421123,89.46922119,85.60315747,93.32533377,82.94461988,86.5743029,82.88530703,82.37622214,87.20169252,88.24900667,90.65735005,97.00854879,98.83546818,106.3235348,107.3814136,105.8664522,113.7658212,109.9454795,110.7782877,115.1883135
Non-Annex_I,Rest Central America,KNA,Saint Kitts and Nevis,GWP_100_AR5_GHG,58.47747307,59.89120598,63.02262856,62.56929809,60.86836145,64.15401779,64.15563565,66.44214769,66.4919053,66.30803413,65.47784818,64.39663178,63.24697954,61.41249384,63.37138572,62.61229406,60.1747466,60.7813644,62.91878941,62.31339435,59.89825504,66.87878964,68.20419558,73.22774225,79.81849646,73.51026019,79.89964614,83.35263378,84.01323568,84.34148182,94.1855711,95.70189659,103.4394257,105.9461409,112.4851628,106.6529442,112.5491144,121.2044894,126.7410105,136.9924553,145.3662359,123.9097484,117.5453134,128.8352972,134.4019374,140.1184406,149.7272332,142.2295913,150.412653,170.5771335,160.401954,163.3160949,184.1361545,179.2918381,185.4917431
Non-Annex_I,Korea,KOR,"Korea, Republic of",GWP_100_AR5_GHG,91155.74075,92176.87494,94569.70449,111675.9665,118335.141,127325.17,137590.3043,153668.0489,161918.9648,179327.0357,181045.7141,188793.1403,188610.9384,204417.9387,227808.9202,238491.8222,247750.5759,253277.5906,279867.5569,290421.9991,311402.0944,346703.3777,377498.7702,403121.4626,433936.9334,466407.8221,499757.7234,527461.5532,454985.566,496609.2657,530144.98,537294.3518,554173.0501,560142.7191,578458.5486,575115.2443,583400.5694,603976.243,616336.0674,621142.472,682954.9561,716389.6736,715602.3333,712962.3774,702553.0673,714593.7693,719521.4319,738191.2436,754522.2558,729069.5716,695127.0635,719280.5723,694878.3079,670114.5555,668245.271
Non-Annex_I,Middle_East,KWT,Kuwait,GWP_100_AR5_GHG,80652.10377,83235.32287,86661.13519,78949.16839,66058.91179,55879.64456,57306.30511,54819.1957,61501.07207,71557.02094,58653.8242,49884.46819,48088.15333,54058.32356,56368.88812,59048.85474,65574.94628,70778.54895,81259.98726,94876.04021,50554.85421,45863.08378,45950.93583,64309.19231,72946.54383,70790.82311,71270.80732,75941.07429,77194.30157,79342.78654,89595.91076,91272.9075,94617.74249,105193.4091,110054.2236,121801.403,125310.1718,121437.0096,126248.7196,124539.0831,126711.9641,135487.9859,138791.3296,140765.0041,139441.8257,143824.3298,149039.7795,146704.5049,150353.0106,148815.5233,144052.7419,152392.5594,159622.8036,167887.6653,173330.6967
