iso_alpha_3,year,total_emissions_excl_lulucf,total_emissions
ABW,2000,0.34803314619048,0.34803314619048
ABW,2001,0.3510933622658,0.3510933622658
ABW,2002,0.37648610365328,0.37648610365328
ABW,2003,0.42681025852753,0.42681025852753
ABW,2004,0.44115869321368,0.44115869321368
ABW,2005,0.47827319877944,0.47827319877944
ABW,2006,0.48773812420836,0.48773812420836
ABW,2007,0.52282749914674,0.52282749914674
ABW,2008,0.51530151916293,0.51530151916293
ABW,2009,0.5507351851186,0.5507351851186
ABW,2010,0.5289147747881,0.5289147747881
ABW,2011,0.34091756471299,0.34091756471299
ABW,2012,0.40571470348903,0.40571470348903
ABW,2013,0.44053677564782,0.44053677564782
ABW,2014,0.46992312834595,0.46992312834595
ABW,2015,0.49151642823956,0.49151642823956
ABW,2016,0.5150733614816,0.5150733614816
ABW,2017,0.49668832510882,0.49668832510882
ABW,2018,0.49496691759112,0.49496691759112
ABW,2019,0.54001348922373,0.54001348922373
ABW,2020,0.51908072717292,0.51908072717292
ABW,2021,0.53833479944398,0.53833479944398
ABW,2022,0.56749202966932,0.56749202966932
ABW,2023,0.56950278847654,0.56950278847654
AFG,2000,14.36494047162,24.910940471620002
AFG,2001,12.628446199973,23.174446199972998
AFG,2002,15.22857195038,25.77457195038
AFG,2003,15.857564956621,26.403564956620997
AFG,2004,15.993336269049,26.539336269049
AFG,2005,16.14491309459,26.690913094589998
AFG,2006,16.338498178131,26.884498178131
AFG,2007,17.511647293268,28.057647293267998
AFG,2008,20.859991932454,31.405991932454
AFG,2009,23.862502192454,34.408502192453994
AFG,2010,27.768531219617,38.314531219616995
AFG,2011,31.898807267665,42.444807267665
AFG,2012,29.759348225404,40.305348225404
AFG,2013,28.131944212952,38.677944212952
AFG,2014,28.354538031038,38.900538031037996
AFG,2015,28.09308461619,38.639084616190004
AFG,2016,27.164741407716,37.710741407716
AFG,2017,30.474594817225,41.020594817225
AFG,2018,31.935810418147,42.481810418147
AFG,2019,32.43616844578,42.98216844578
AFG,2020,32.400167958631,42.946167958631
AFG,2021,32.835845915722,43.381845915721996
AFG,2022,31.91213908326,42.45813908326
AFG,2023,32.4351067419,42.9811067419
AGO,2000,68.933003919726,108.99560891972601
AGO,2001,67.211380261429,107.273985261429
AGO,2002,64.921622157878,104.984227157878
AGO,2003,65.375925232362,105.43853023236198
AGO,2004,70.639252424552,110.701857424552
AGO,2005,68.698807817794,108.761412817794
AGO,2006,61.220942950481,101.128339950481
AGO,2007,59.728509631686,99.881866631686
AGO,2008,63.036149427156,103.101555427156
AGO,2009,64.538423691257,104.77228969125699
AGO,2010,71.664962622102,111.854848622102
AGO,2011,70.561935977477,141.114296977477
AGO,2012,72.492007002206,142.88416200220598
AGO,2013,77.026251777733,147.443633777733
AGO,2014,78.997615616043,149.430094616043
AGO,2015,83.536857859532,153.897299859532
AGO,2016,80.62550776334,151.05647176334
AGO,2017,75.433642680212,145.840326680212
AGO,2018,70.465116025569,140.874706025569
AGO,2019,71.208749443621,141.61833944362098
AGO,2020,63.159221101756,133.568811101756
AGO,2021,66.601919421159,137.011509421159
AGO,2022,68.035237043701,138.444827043701
AGO,2023,68.280785052324,138.690375052324
AIA,2000,0.01788997799324,0.01788997799324
AIA,2001,0.018437401879825,0.018437401879825
AIA,2002,0.013278011326023,0.013278011326023
AIA,2003,0.016661254167253,0.016661254167253
AIA,2004,0.016071790095026,0.016071790095026
AIA,2005,0.016328907231431,0.016328907231431
AIA,2006,0.015512027314156,0.015512027314156
AIA,2007,0.01506413999675,0.01506413999675
AIA,2008,0.018104828438473,0.018104828438473
AIA,2009,0.023189188167567,0.023189188167567
AIA,2010,0.027190600881657,0.027190600881657
AIA,2011,0.029273999145927,0.029273999145927
AIA,2012,0.029319386547653,0.029319386547653
AIA,2013,0.031312684926867,0.031312684926867
AIA,2014,0.031292951744315,0.031292951744315
AIA,2015,0.031417667438233,0.031417667438233
AIA,2016,0.03181268102582,0.03181268102582
AIA,2017,0.032560698188558,0.032560698188558
AIA,2018,0.031682045383717,0.031682045383717
AIA,2019,0.031036684467285,0.031036684467285
AIA,2020,0.026124833006615,0.026124833006615
AIA,2021,0.025313813010737,0.025313813010737
AIA,2022,0.025155856380511,0.025155856380511
AIA,2023,0.025157583778709,0.025157583778709
ALB,2000,7.1976816905021,13.0352216905021
ALB,2001,7.3853745388141,13.222914538814099
ALB,2002,8.0069214744988,13.8444614744988
ALB,2003,8.195193892095,14.032733892094999
ALB,2004,8.4032652571337,14.240805257133701
ALB,2005,7.9928831795349,13.8304231795349
ALB,2006,8.0376910968768,13.8752310968768
ALB,2007,7.9927804202399,13.8303204202399
ALB,2008,7.7800718045485,13.617611804548499
ALB,2009,7.7631700125032,13.6007100125032
ALB,2010,8.0714879880719,9.713447988071898
ALB,2011,8.5046158779579,12.876155877957899
ALB,2012,8.1771543499761,13.5307343499761
ALB,2013,8.4377162678676,9.7826462678676
ALB,2014,8.9187607426059,10.1433707426059
ALB,2015,8.7633432036849,10.035193203684901
ALB,2016,8.3753887273751,9.7209587273751
ALB,2017,9.1946570256507,10.540227025650701
ALB,2018,9.191052348976,10.536622348976
ALB,2019,8.666245019669,10.011815019669001
ALB,2020,7.9971952854319,9.3427652854319
ALB,2021,8.4962829093712,9.8418529093712
ALB,2022,7.6976185509826,9.0431885509826
ALB,2023,7.2612471504801,8.6068171504801
ANT,2000,5.8861424369801,5.8861424369801
ANT,2001,5.8853413593818,5.8853413593818
ANT,2002,5.6254343217576,5.6254343217576
ANT,2003,5.6363745444351,5.6363745444351
ANT,2004,5.8551906979961,5.8551906979961
ANT,2005,6.1380761277358,6.1380761277358
ANT,2006,5.9961158288398,5.9961158288398
ANT,2007,6.483448643498,6.483448643498
ANT,2008,6.4160381604317,6.4160381604317
ANT,2009,6.0842401627396,6.0842401627396
ANT,2010,4.4403869372282,4.4403869372282
ANT,2011,5.7135142519207,5.7135142519207
ANT,2012,5.8003136240628,5.8003136240628
ANT,2013,5.3301914308806,5.3301914308806
ANT,2014,5.8713775695455,5.8713775695455
ANT,2015,5.9369467262092,5.9369467262092
ANT,2016,5.1617289447695,5.1617289447695
ANT,2017,4.161296735615,4.161296735615
ANT,2018,3.3689648128614,3.3689648128614
ANT,2019,2.6105129067609,2.6105129067609
ANT,2020,2.1936295977255,2.1936295977255
ANT,2021,2.3337414590687,2.3337414590687
ANT,2022,2.4101833527464,2.4101833527464
ANT,2023,2.4044571947322,2.4044571947322
ARE,2000,117.22602166017,116.15232166017
ARE,2001,129.74346713382,128.66976713382
ARE,2002,131.31441845415,130.24071845415
ARE,2003,139.41055000609,138.33685000609
ARE,2004,146.05180828036,144.97810828036
ARE,2005,155.51923290448,154.44553290448
ARE,2006,162.32498210109,161.25128210109
ARE,2007,172.83580578118,171.76210578118
ARE,2008,200.39141813479,199.31771813479
ARE,2009,201.4993130935,200.4256130935
ARE,2010,209.69325990118,208.61955990118
ARE,2011,217.38200154843,216.30830154843
ARE,2012,226.7172740012,225.6435740012
ARE,2013,238.5774506472,237.5037506472
ARE,2014,242.04974213197,240.97604213197
ARE,2015,254.20725548047,253.13355548047
ARE,2016,262.18945675797,261.11575675797
ARE,2017,254.2672090996,253.1935090996
ARE,2018,238.77950243206,237.70580243206
ARE,2019,251.89382791671,250.82012791671
ARE,2020,249.74903598251,248.67533598251
ARE,2021,255.3524567284,254.2787567284
ARE,2022,255.59272957856,254.51902957856
ARE,2023,254.30732072143,253.23362072143
ARG,2000,288.44532743907,373.64419822907
ARG,2001,285.50069655993,368.36762323993
ARG,2002,284.54133535089,382.12735471089
ARG,2003,305.89949656291,402.00647197291
ARG,2004,324.6532995456,429.1492381456
ARG,2005,329.38456757398,422.58690029398
ARG,2006,342.68152704837,452.83037944837
ARG,2007,354.36305793046,471.69049933046
ARG,2008,357.01589729525,450.38515712525
ARG,2009,333.4521471041,403.4170609341
ARG,2010,337.31050946061,412.44917691061
ARG,2011,343.82549654953,396.80282511953
ARG,2012,351.325161647,442.179587947
ARG,2013,360.02368212078,445.36633781078
ARG,2014,359.81270629699,417.02688047698996
ARG,2015,366.04081420398,402.65031027398
ARG,2016,369.18272108148,398.87172386148
ARG,2017,372.69642735553,408.81165720552997
ARG,2018,372.51051459041,409.82296148041
ARG,2019,369.60200289539,377.38909534239
ARG,2020,354.15827230152,422.04272166152003
ARG,2021,371.31818034915,423.12665930915
ARG,2022,383.5353557076,430.5683074076
ARG,2023,377.67454464453,424.70749634453
ARM,2000,5.8624767057011,5.4446993407011
ARM,2001,5.9983794418202,5.6012692698202
ARM,2002,5.5471873248885,5.1402443468885
ARM,2003,5.9939654232972,6.504789638297201
ARM,2004,6.4778987621579,6.0389901701579
ARM,2005,7.22003180908,6.75259041108
ARM,2006,7.18926183286,6.7221188948599995
ARM,2007,8.1343789849869,7.625034505986901
ARM,2008,8.6113741149986,8.1085280959986
ARM,2009,7.3395963175701,6.8481487585701
ARM,2010,7.0714426791935,6.5808935801935
ARM,2011,7.6980368916612,7.2114702576612
ARM,2012,8.5676428946668,8.103360008666801
ARM,2013,8.6110695948695,8.1341969768695
ARM,2014,8.9684956588992,8.488247719899201
ARM,2015,8.8965283311445,8.4176090921445
ARM,2016,8.7313130572345,8.2456252542345
ARM,2017,8.9353274636354,8.4647474636354
ARM,2018,9.0795484439027,8.6089684439027
ARM,2019,9.5602776177122,9.0896976177122
ARM,2020,10.28177646652,9.81119646652
ARM,2021,10.908034824019,10.437454824019
ARM,2022,11.221545290367,10.750965290367
ARM,2023,10.725980572744,10.255400572744
ATG,2000,0.22542416170431,0.41696384670430997
ATG,2001,0.22287634600222,0.41441603100222
ATG,2002,0.24070309409146,0.43224277909146
ATG,2003,0.25508573842032,0.44662542342031997
ATG,2004,0.25875799261609,0.45029767761608996
ATG,2005,0.26519152520914,0.45673121020914
ATG,2006,0.28869655200843,0.48023623700843
ATG,2007,0.30700016378066,0.49853984878065993
ATG,2008,0.3227411578867,0.5142808428867
ATG,2009,0.35736821254483,0.5489078975448299
ATG,2010,0.34738744250501,0.53892712750501
ATG,2011,0.27968214037708,0.47122182537708
ATG,2012,0.29398703258385,0.48552671758385
