iso_alpha_3,year,x_log_signed_con_edgar_ghg_mt,x_log_signed_con_solar,inc_has_efficiency_standard,inc_has_renewable_target,con_net_elec_imports_twh,x_log_signed_cap_civil_liberties_idx,inc_has_carbon_tax,inc_has_ets,x_log_signed_inc_carbon_pricing_coverage,con_forest_area_pct,con_agricultural_land_pct,x_log_signed_con_nuclear,x_log_signed_con_electricity_access_pct,inc_has_framework_law,x_log_signed_inc_n_climate_laws,x_log_signed_inc_cumulative_climate_laws,con_fossil_share_elec_pct,con_renewables_share_elec_pct,x_log_signed_con_primary_energy_twh,x_log_signed_con_hydro,x_log_signed_con_demand,x_log_signed_con_coal,x_log_signed_con_gas,x_log_signed_con_demand_per_capita,cap_regulatory_quality,cap_rule_of_law,cap_govt_effectiveness,con_ndgain_score,em_lag_1y,em_trend_5y,emissions_anchor_2022,years_since_2022,trend_year_interaction
TGO,2018,2.344458667820935,0.0,1.0,1.0,0.88,0.49041881398832804,0.0,0.0,0.0,22.3421584850156,70.2334988049274,0.0,3.9318256327243257,1.0,2.0794415416798357,3.4339872044851463,65.0,35.0,2.3880285748115133,0.06765864847381481,0.9082585601768908,0.0,0.019802627296179712,0.16551443847757338,-0.70613569021225,-0.619187831878662,-1.09388375282288,38.786297661342,2.2939805462402982,0.019242432885979203,2.4921841681126535,-4,-0.07696973154391681
TGO,2019,2.3935921334504564,0.009950330853168083,0.0,0.0,0.84,0.49774038421733524,0.0,0.0,0.0,22.2877367163081,70.2334988049274,0.0,3.979681653901961,1.0,1.0986122886681098,3.4965075614664802,78.689,21.311,2.349468678892896,0.06765864847381481,0.8960880245566356,0.0,0.019802627296179712,0.15700374880966475,-0.744945108890533,-0.590546667575836,-0.972673833370209,39.6683656928769,2.344458667820935,0.02952635078300739,2.4921841681126535,-3,-0.08857905234902218
TGO,2020,2.431877078556092,0.009950330853168083,0.0,0.0,0.81,0.5498540107334691,0.0,0.0,0.0,22.2333149476007,70.2334988049274,0.0,4.009149716158869,1.0,0.6931471805599453,3.5263605246161616,85.246,14.754,2.305979326062061,0.06765864847381481,0.883767540168595,0.0,0.019802627296179712,0.14842000511827327,-0.664301931858063,-0.674149811267853,-0.73015683889389,40.7910104632394,2.3935921334504564,0.03774202094636748,2.4921841681126535,-2,-0.07548404189273496
TGO,2021,2.4689027920190094,0.058268908123975775,1.0,1.0,0.8,0.5359084041334539,0.0,0.0,0.0,22.1788931788932,70.2334988049274,0.0,4.037774210733707,1.0,1.3862943611198906,3.6109179126442243,77.465,22.535,2.490640181635761,0.06765864847381481,0.9202827531436926,0.0,0.06765864847381481,0.15700374880966475,-0.646790862083435,-0.585921347141266,-0.686272263526917,40.9687793435521,2.431877078556092,0.03739076721042664,2.4921841681126535,-1,-0.03739076721042664
TGO,2022,2.4921841681126535,0.06765864847381481,0.0,0.0,1.13,0.5341514490694873,0.0,0.0,0.0,22.1244714101857,70.2334988049274,0.0,4.063885354737392,1.0,1.0986122886681098,3.6635616461296463,80.0,20.0,2.5475684109127115,0.06765864847381481,1.1085626195212777,0.0,0.06765864847381481,0.1988508587451652,-0.562867999076843,-0.550358951091766,-0.645623385906219,41.0829781547961,2.4689027920190094,0.04372629022925803,2.4921841681126535,0,0.0
TJK,2005,2.571147811826142,0.0,0.0,0.0,0.25,0.32353172534547814,0.0,0.0,0.0,2.92940840240069,33.3809659902829,0.0,4.60816569496789,0.0,0.0,0.0,0.702,99.298,3.6402930191902922,1.6253112615903906,2.9090844668283187,0.0,0.1906203596086497,1.252762968495368,-1.12793004512787,-1.10024237632751,-1.15841937065125,44.0073068857366,2.6105919285749235,0.0571555728624903,3.1710973607724,-17,-0.9716447386623351
TJK,2006,2.6222036513382965,0.0,0.0,0.0,0.61,0.32497785719547784,0.0,0.0,0.0,2.92940840240069,33.8310945984567,0.0,4.601162164590552,0.0,0.0,0.0,1.359,98.641,3.6237274114772,1.6253112615903906,2.919930560137709,0.0,0.1906203596086497,1.2499017362143359,-1.10614681243896,-1.18217408657074,-1.07245790958405,40.9737290117771,2.571147811826142,0.03952769227409153,3.1710973607724,-16,-0.6324430763854645
TJK,2007,2.7248396654320572,0.0,0.0,1.0,0.1,0.316998126785834,0.0,0.0,0.0,2.92940840240069,33.7882252072021,0.0,4.601162164590552,0.0,0.0,0.0,2.173,97.827,3.4967802515558852,1.6253112615903906,2.922623801733353,0.0,0.1906203596086497,1.2383742310432684,-1.13235282897949,-1.29604709148407,-1.12784206867218,41.1305641773569,2.6222036513382965,0.0383077456040244,3.1710973607724,-15,-0.574616184060366
TJK,2008,2.6437497148725444,0.0,1.0,1.0,0.88,0.3184537311185346,0.0,0.0,0.0,2.92940840240069,33.7739354101172,0.0,4.601162164590552,0.0,0.0,0.0,2.167,97.833,3.4144097131342903,1.6272778305624314,2.8920370372152258,0.0,0.1906203596086497,1.199964782928397,-1.07706034183502,-1.29554963111877,-1.09022438526154,41.0951127895146,2.7248396654320572,0.05814588681022783,3.1710973607724,-14,-0.8140424153431897
TJK,2009,2.5869677455207882,0.0,0.0,1.0,0.06,0.32208349916911333,0.0,0.0,0.0,2.92940840240069,34.0054301228923,0.0,4.605170185988092,1.0,0.6931471805599453,1.6094379124341003,1.365,98.635,3.304245855585705,1.7526720805200082,2.8437459165561094,0.0,0.1906203596086497,1.1505720275988207,-1.06424653530121,-1.27246570587158,-1.12183570861816,41.1181283887986,2.6437497148725444,0.022000742620116157,3.1710973607724,-13,-0.28600965406151
