iso_alpha_3,income_group,region,year,pop_growth,renewable_energy_consumption_pct,forest_area_pct,gdp_growth_pct,gdp_per_capita_growth_pct,manufacturing_pct_of_gdp,policy_index,policy_index_lag1,log_pop_total,log_gdp_2021_ppp_intl_usd,log_gdp_per_capita_2021_ppp_intl_usd,log_imports_pct_of_gdp,log_industry_pct_of_gdp,log_exports_pct_of_gdp,log_total_emissions,log_policy_count,log_gdp_2021_ppp_intl_usd_lag1,log_pop_total_lag1,log_policy_count_lag1,log_total_emissions_lag1
ABW,High income,Latin America & Caribbean,2001,0.93503293482838,0.2,2.33333333333333,4.1820016304779,3.21240568796392,4.27707297760187,0.961285752584596,0.961285752584596,11.423438298468692,22.032621223619383,10.609218548753956,4.254112646960631,2.64291196735144,4.2766214481608955,0.29575088384444337,1.0986122886681098,21.991652024292993,11.414088071856408,1.0986122886681098,0.28950442674007965
ABW,High income,Latin America & Caribbean,2002,0.692051826700269,0.2,2.33333333333333,-0.944953481157384,-1.62809915245946,4.4258336418259,0.961285752584596,0.961285752584596,11.430358741313267,22.023126758686445,10.592803974138516,4.2437189657936205,2.6561687244631567,4.183031547628152,0.30985100752326417,1.0986122886681098,22.032621223619383,11.423438298468692,1.0986122886681098,0.29575088384444337
ABW,High income,Latin America & Caribbean,2003,1.13822893851655,0.2,2.33333333333333,1.11050459944282,-0.0338394415310148,4.77750508341168,0.961285752584596,0.961285752584596,11.44174090777954,22.034170596384996,10.5924655309501,4.263567905628628,2.7658290399953023,4.154674446347585,0.3451811878117914,1.0986122886681098,22.023126758686445,11.430358741313267,1.0986122886681098,0.30985100752326417
ABW,High income,Latin America & Caribbean,2004,2.13535781849357,0.2,2.33333333333333,7.29372807096192,5.02691151582482,5.62202020887743,0.961285752584596,0.961285752584596,11.463094259104883,22.10457060603248,10.641510760854052,4.230700293826082,2.809192327094193,4.184574564507655,0.35780530561119517,1.0986122886681098,22.034170596384996,11.44174090777954,1.0986122886681098,0.3451811878117914
ABW,High income,Latin America & Caribbean,2005,2.59075665615847,0.2,2.33333333333333,-0.383137672063768,-2.93082349408309,6.18729480964419,0.961285752584596,0.961285752584596,11.489001556850855,22.100731870787484,10.61176518074992,4.356388031088259,2.850559734984563,4.235197187674391,0.380248164513814,1.0986122886681098,22.10457060603248,11.463094259104883,1.0986122886681098,0.35780530561119517
ABW,High income,Latin America & Caribbean,2006,1.79663785158395,0.2,2.33333333333333,1.12741146411624,-0.673257700327071,6.56566033561861,0.961285752584596,0.961285752584596,11.506967752995982,22.11194290626042,10.605010004620478,4.349612864686522,2.9261604793756564,4.183486555592286,0.3788291808460544,1.0986122886681098,22.100731870787484,11.489001556850855,1.0986122886681098,0.380248164513814
ABW,High income,Latin America & Caribbean,2007,0.746664790352749,0.2,2.33333333333333,3.0895443848509,2.32267757939195,6.66602266899619,0.961285752584596,0.961285752584596,11.514434326066581,22.142370693777107,10.627970581485506,4.329562219956193,2.9166647310751683,4.190582531779035,0.4060624860424308,1.0986122886681098,22.11194290626042,11.506967752995982,1.0986122886681098,0.3788291808460544
ABW,High income,Latin America & Caribbean,2008,0.762933470313563,0.2,2.33333333333333,1.83575517191368,1.06177235220186,6.67084036318234,0.961285752584596,0.961285752584596,11.522063584881254,22.160561779820984,10.638532078279157,4.311883835651723,2.8438826289433914,4.197642377963444,0.4008349275470941,1.0986122886681098,22.142370693777107,11.514434326066581,1.0986122886681098,0.4060624860424308
ABW,High income,Latin America & Caribbean,2009,0.678450763317743,0.3,2.33333333333333,-11.6777413693852,-12.2749362798142,4.20598999407169,0.961285752584596,0.961285752584596,11.528848025514044,22.0363837493294,10.507572894709899,4.325958967199034,2.6421266139699053,4.15760982731554,0.42325433444743166,1.0986122886681098,22.160561779820984,11.522063584881254,1.0986122886681098,0.4008349275470941
ABW,High income,Latin America & Caribbean,2010,0.230041095930877,5.5,2.33333333333333,-2.73345679250639,-2.95695264975568,2.86046777972098,0.961285752584596,0.961285752584596,11.531148413858649,22.0086686414831,10.47755820861643,4.33397110080333,2.5294068315813982,4.114444303716526,0.4104572669883112,1.0986122886681098,22.0363837493294,11.528848025514044,1.0986122886681098,0.42325433444743166
