iso_alpha_3,year,income_group,region,pop_growth_hp_trend,renewable_energy_consumption_pct_hp_trend,forest_area_pct_hp_trend,gdp_growth_pct_hp_trend,gdp_per_capita_growth_pct_hp_trend,manufacturing_pct_of_gdp_hp_trend,log_pop_total_hp_trend,log_gdp_2021_ppp_intl_usd_hp_trend,log_gdp_per_capita_2021_ppp_intl_usd_hp_trend,log_imports_pct_of_gdp_hp_trend,log_industry_pct_of_gdp_hp_trend,log_exports_pct_of_gdp_hp_trend,log_total_emissions_hp_trend,log_gdp_2021_ppp_intl_usd_lag1_hp_trend,log_pop_total_lag1_hp_trend
KEN,2021,Lower middle income,Africa Eastern and Southern,1.8852051548876565,69.33937832710049,6.324298140451471,4.551587697214026,2.5994004655292358,7.5351751595950445,17.79398876870451,26.373214348119834,8.57941315327136,3.028839633709626,2.904238465905828,2.4664787200225757,5.151917101983874,26.328997209222315,17.775136717505173
KEN,2022,Lower middle income,Africa Eastern and Southern,1.8189794446411338,69.40133573511322,6.33738704327884,4.594704108440404,2.7097246063160134,7.157939218483187,17.814532453318517,26.41630328319474,8.601953857932976,2.9916061291144933,2.8939472932483374,2.4221059976725114,5.176308396190437,26.371703989012957,17.796342659198974
KGZ,2001,Lower middle income,Europe & Central Asia,0.8672637756110565,31.942424120342885,6.184917044351505,4.108292482071189,3.2076148820135844,14.552085954425207,15.408818150407324,23.63711982658573,8.228567179478775,3.7363852183326363,3.1304959993543906,3.67544590625265,0.4540319415048363,23.59726134680794,15.400145514461254
KGZ,2002,Lower middle income,Europe & Central Asia,0.9215354837059607,30.78723696876825,6.208242115919523,4.190194140276828,3.233242088950665,14.263487679581477,15.41993452071787,23.680490938226626,8.260814412630747,3.8386143005344575,3.115086002165343,3.7098726166834792,0.6188367071893001,23.639875825460756,15.410719167769654
KGZ,2003,Lower middle income,Europe & Central Asia,0.9766254178803438,29.672625575990182,6.231541687534117,4.284229087780803,3.27006071481122,14.005774643984159,15.431101734399721,23.72404661783313,8.293195351446627,3.9398612691658665,3.1016330850517266,3.7438479849487236,0.7800991381206871,23.682554971440744,15.421335482189738
KGZ,2004,Lower middle income,Europe & Central Asia,1.0333217040012672,28.614293331117548,6.254785835997162,4.360455426348318,3.2876148964870624,13.797681720504887,15.442402167020134,23.767720557608662,8.32556137452857,4.038676598712557,3.091995477859817,3.776855029746856,0.935952268305833,23.72552046005194,15.432068952030866
KGZ,2005,Lower middle income,Europe & Central Asia,1.093131447767076,27.636217367499334,6.277961546574088,4.416391898839889,3.281887348520831,13.65063015335577,15.453942906524704,23.81143943442231,8.357732140469366,4.132553124323356,3.087575479881492,3.807747045942674,1.08730563469558,23.768722450504033,15.443011594183638
KGZ,2006,Lower middle income,Europe & Central Asia,1.1593305524929192,26.753231885173346,6.301094598933646,4.4762208181023055,3.2733784200729965,13.591317487962705,15.465863769033875,23.855365262416008,8.389729863235276,4.218159193522755,3.0900744007622727,3.835349232354357,1.2360927881511137,23.812089348250208,15.45427046574068
KGZ,2007,Lower middle income,Europe & Central Asia,1.2355474529362835,25.983808910502393,6.324272137466543,4.518205423953519,3.2368137042379623,13.638459277627817,15.47833472988512,23.8994406372751,8.421327230245435,4.291403780967282,3.1007475089724905,3.857122976281002,1.3832254182087984,23.855774877087534,15.465979257697839
KGZ,2008,Lower middle income,Europe & Central Asia,1.3245548692528821,25.356888150997552,6.347665668186245,4.506875735450457,3.134202454353098,13.784778718066384,15.491544090896387,23.943255051153084,8.451925575241832,4.349838206071819,3.1191564341879263,3.869722988277143,1.5266687260829603,23.89970684321822,15.478298544675818
KGZ,2009,Lower middle income,Europe & Central Asia,1.4263082435568717,24.886571225064884,6.371553610768053,4.447008465161271,2.970310719816494,13.985804885354042,15.505669152704275,23.98642388960456,8.480963108579196,4.392543355329751,3.1425809723842684,3.871106461575051,1.6641947698704385,23.943455853165915,15.491406072889161
KGZ,2010,Lower middle income,Europe & Central Asia,1.5370279703310328,24.553390869600467,6.396341690666294,4.382327728785747,2.7923180185079755,14.191409338285672,15.520839226146554,24.028957015557395,8.508320406230434,4.420487455417685,3.1677567656229484,3.8605243452792135,1.7949614310759345,23.986615744795905,15.505468949223165
KGZ,2011,Lower middle income,Europe & Central Asia,1.6519161455480662,24.336014109249724,6.422578387112917,4.3409505031258355,2.6330264861351496,14.353888100373393,15.537126829458622,24.071111623491184,8.534182098346491,4.434493586772208,3.192035624252742,3.8387160285672697,1.9180673858343715,24.02917282532665,15.520607670944372
KGZ,2012,Lower middle income,Europe & Central Asia,1.7650662483957482,24.22357405996208,6.450961379742902,4.302454821727712,2.4785057410477944,14.452225987901665,15.55453860414198,24.112919639979722,8.558573450016379,4.435329554564312,3.214147929668572,3.8074341306868367,2.0307638964575907,24.071358814976417,15.536887944751758
KGZ,2013,Lower middle income,Europe & Central Asia,1.868494568367905,24.221843696594455,6.482305942839393,4.262571956075645,2.332865671265802,14.50455142300124,15.572996858622515,24.15434474077552,8.58153580068658,4.423563331307084,3.2343848680942866,3.770214871227948,2.1307307099722133,24.113178007959974,15.554311916162428
KGZ,2014,Lower middle income,Europe & Central Asia,1.9554068601328338,24.318360253404162,6.51749187661699,4.173127127438187,2.1559022957681315,14.505188006218475,15.592353851746594,24.194855451737418,8.602685469561814,4.401081341821014,3.2523622638556957,3.730676174804785,2.2174690842555487,24.154563975755945,15.572799786464937
KGZ,2015,Lower middle income,Europe & Central Asia,2.022211502871486,24.50644252768256,6.557380822800375,4.052474532051179,1.9692247213195464,14.461094713091843,15.612426085899916,24.234046879710043,8.621801081183659,4.370836325557192,3.267872720416698,3.692403825249879,2.291264541999814,24.19495255626948,15.592203974248113
KGZ,2016,Lower middle income,Europe & Central Asia,2.067795372119116,24.802225714186964,6.60269516649613,3.917477481184405,1.7904548940170388,14.370940607083176,15.633021062688103,24.271630123685448,8.63878622950019,4.336620273804629,3.280329168179369,3.6581700809091413,2.353343993217124,24.233903976041727,15.612343112361689
KGZ,2017,Lower middle income,Europe & Central Asia,2.0932901541246944,25.21178058239787,6.653849907940497,3.7832327952383786,1.6332032735104614,14.22929156150882,15.653961229814977,24.307420620660157,8.653633884633877,4.301925210622141,3.2890767547079816,3.629710879858001,2.405617922105876,24.27109348271592,15.633028331650303
KGZ,2018,Lower middle income,Europe & Central Asia,2.1013032270802796,25.715155644653894,6.710730488822584,3.669021079020781,1.5136742855042957,14.04134665228656,15.675099567735037,24.34138676213297,8.666459418017837,4.269503497666899,3.2938160631534066,3.6082423400176173,2.4498764635288506,24.306302090976445,15.654086538792173
KGZ,2019,Lower middle income,Europe & Central Asia,2.09455737588614,26.287281607469666,6.772411912231762,3.6036899816246977,1.4573241063873452,13.819920320154935,15.696320671030973,24.37375509217031,8.677604702155412,4.2411894417240905,3.2947883866410086,3.5943089318316144,2.487588283680998,24.33946913641967,15.67537510052658
KGZ,2020,Lower middle income,Europe & Central Asia,2.0763121517698964,26.879937620913275,6.837540708485964,3.616976042708723,1.489930851718171,13.58005817242185,15.717544862986635,24.40503954811635,8.687663233456625,4.218357579893424,3.292788356635158,3.587216355889501,2.5212485776753195,24.370803292506423,15.696781744631226
KGZ,2021,Lower middle income,Europe & Central Asia,2.051305173705808,27.465030018978126,6.904669111512821,3.7485851586859655,1.6455114048689077,13.335820855309134,15.738740220934725,24.436167570763143,8.697594198985575,4.201234446366199,3.288833743652946,3.5857299939875045,2.553250171607623,24.400819802232412,15.718227172257063
