future_id,iso_alpha_3,2022,2030,vulnerability_threshold,vulnerability_indicator,ndc_unconditional
id_MOZ_1,MOZ,39.202188328635245,58.398557567532094,48.2499815774557,1,95.5
id_MOZ_10,MOZ,39.202188328635245,48.19838786783781,48.2499815774557,0,95.5
id_MOZ_100,MOZ,39.202188328635245,65.87744914185281,48.2499815774557,1,95.5
id_MOZ_1000,MOZ,39.202188328635245,32.45730677877534,48.2499815774557,0,95.5
id_MOZ_101,MOZ,39.202188328635245,55.22160145645341,48.2499815774557,1,95.5
id_MOZ_102,MOZ,39.202188328635245,52.333594090800155,48.2499815774557,1,95.5
id_MOZ_103,MOZ,39.202188328635245,42.3430974340534,48.2499815774557,0,95.5
id_MOZ_104,MOZ,39.202188328635245,42.49687460551455,48.2499815774557,0,95.5
id_MOZ_105,MOZ,39.202188328635245,71.30883659338319,48.2499815774557,1,95.5
id_MOZ_106,MOZ,39.202188328635245,53.71636774457301,48.2499815774557,1,95.5
id_MOZ_107,MOZ,39.202188328635245,55.05056532576219,48.2499815774557,1,95.5
id_MOZ_108,MOZ,39.202188328635245,49.74849256205118,48.2499815774557,1,95.5
id_MOZ_109,MOZ,39.202188328635245,34.57290791383153,48.2499815774557,0,95.5
id_MOZ_11,MOZ,39.202188328635245,42.9827051180844,48.2499815774557,0,95.5
id_MOZ_110,MOZ,39.202188328635245,51.4853233456957,48.2499815774557,1,95.5
id_MOZ_111,MOZ,39.202188328635245,35.30413008304002,48.2499815774557,0,95.5
id_MOZ_112,MOZ,39.202188328635245,50.95736202072996,48.2499815774557,1,95.5
id_MOZ_113,MOZ,39.202188328635245,48.72027272683034,48.2499815774557,1,95.5
id_MOZ_114,MOZ,39.202188328635245,57.498898254863185,48.2499815774557,1,95.5
id_MOZ_115,MOZ,39.202188328635245,58.60302447657906,48.2499815774557,1,95.5
id_MOZ_116,MOZ,39.202188328635245,59.38934231430873,48.2499815774557,1,95.5
id_MOZ_117,MOZ,39.202188328635245,38.37783091919431,48.2499815774557,0,95.5
id_MOZ_118,MOZ,39.202188328635245,37.983577989714625,48.2499815774557,0,95.5
id_MOZ_119,MOZ,39.202188328635245,39.96549145703088,48.2499815774557,0,95.5
id_MOZ_12,MOZ,39.202188328635245,51.520114790990085,48.2499815774557,1,95.5
id_MOZ_120,MOZ,39.202188328635245,40.27694755010699,48.2499815774557,0,95.5
id_MOZ_121,MOZ,39.202188328635245,53.15608774007771,48.2499815774557,1,95.5
id_MOZ_122,MOZ,39.202188328635245,35.184257602435174,48.2499815774557,0,95.5
id_MOZ_123,MOZ,39.202188328635245,58.78192148674488,48.2499815774557,1,95.5
id_MOZ_124,MOZ,39.202188328635245,55.43135960133371,48.2499815774557,1,95.5
id_MOZ_125,MOZ,39.202188328635245,55.02248225235691,48.2499815774557,1,95.5
id_MOZ_126,MOZ,39.202188328635245,38.4577542377069,48.2499815774557,0,95.5
id_MOZ_127,MOZ,39.202188328635245,59.14698881830912,48.2499815774557,1,95.5
id_MOZ_128,MOZ,39.202188328635245,70.18233797824115,48.2499815774557,1,95.5
id_MOZ_129,MOZ,39.202188328635245,35.46038058784573,48.2499815774557,0,95.5
id_MOZ_13,MOZ,39.202188328635245,73.06084654336668,48.2499815774557,1,95.5
id_MOZ_130,MOZ,39.202188328635245,59.790281478397254,48.2499815774557,1,95.5
id_MOZ_131,MOZ,39.202188328635245,72.62103683802725,48.2499815774557,1,95.5
id_MOZ_132,MOZ,39.202188328635245,55.1668103721043,48.2499815774557,1,95.5
id_MOZ_133,MOZ,39.202188328635245,33.28601417707952,48.2499815774557,0,95.5
id_MOZ_134,MOZ,39.202188328635245,55.407856133097155,48.2499815774557,1,95.5
id_MOZ_135,MOZ,39.202188328635245,53.35221335626676,48.2499815774557,1,95.5
id_MOZ_136,MOZ,39.202188328635245,52.14767830935974,48.2499815774557,1,95.5
