x_log_signed_con_primary_energy_twh__last,con_fossil_share_elec_pct__last,x_log_signed_con_electricity_access_pct__last,vulnerability_indicator
4.508457427979131,18.8212229017307,3.821679866041454,1
4.535428861235341,11.019546900779709,4.039974783948699,0
4.787090396850813,16.513765084143127,4.08884039669215,1
4.020643991504164,4.23012174904634,3.7772007640677847,0
4.707286190280362,13.911593722991787,3.87072449858224,1
4.427824335238528,31.98928727351092,3.8371194812523273,1
4.175642241930133,18.424370001564697,4.123708320761432,0
4.130165747439746,51.85811969095439,3.949830650412839,0
4.837053144558999,24.635500310509777,4.310430478972217,1
4.7147088398263275,13.33039258556864,4.163453156032648,1
4.599034447080182,24.846650146519956,3.901716414461826,1
4.460324740959197,19.093678598967596,3.8667451633041905,1
4.037163413698197,21.929505058982148,4.15983755356942,0
4.297483847369078,19.48399718091989,4.205115409740889,0
4.560367887143993,16.235538090308694,4.116093651044863,1
4.050400697562451,11.389294765219512,3.9407378361830743,0
4.5220214944559896,31.366340974147608,3.9315893812783584,1
4.499697725620436,24.803372224808324,4.02569816770008,1
4.624630966360108,27.70352270999365,4.027779980418147,1
4.646141353561173,25.934625968322223,3.906986899042636,1
4.478717379805492,33.209154013890675,3.9070871847687703,1
4.030244146696866,13.860044835864697,3.7948422234407606,0
3.978257196974168,26.786440445642008,3.748659454205546,0
4.098423239529,26.451613154174407,3.849033621867256,0
4.393188366969365,12.813928269250788,3.895563680791345,1
4.227642770612606,31.80173588200707,4.239032307049135,0
4.831140081618734,12.454260208858123,3.8361657161569687,1
3.839181565041258,12.610304149100278,4.141761967462339,0
4.750154243453201,21.59399718216982,4.029605352898696,1
4.610262120174763,21.498060506850653,3.932563348021683,1
4.630707401387546,24.989733315033497,3.919816714967525,1
4.263416328266658,20.24922911648818,4.186938440707483,0
4.868166874462682,23.902973823001236,4.264408630875353,1
4.842488725630518,29.918466737654427,4.0346614708084525,1
3.9527105800730498,38.8193874939795,4.018721828758651,0
4.737107491598582,21.601143321305955,3.696044471388378,1
4.650712315243441,20.43049442250019,4.160238573619076,1
5.015266989330992,29.3858131940781,4.053697037195744,1
4.492126307355987,21.276562516839437,3.9834685156901863,1
3.91568297363706,17.950415675375083,3.933135765828451,0
4.503279858644055,29.7432829797687,3.8043319175561745,1
4.458877168784081,31.741203609709565,4.010373289935477,1
4.642704740519735,16.36474871695468,3.8960923582770097,1
3.877464427370509,6.730629085363998,4.139915381348534,0
3.882059113111244,0.9469058087395764,3.911278474839267,0
