con_fossil_share_elec_pct__last,x_log_signed_con_solar__last,cap_govt_effectiveness__last,vulnerability_indicator
76.7352397440136,6.095463268054926,1.94680689888936,1
88.44642146439048,5.563361633624141,1.6516777900624224,1
50.74146696119571,6.138659835320288,1.3139647969903911,0
71.61962239943173,6.877748069462321,1.717594783028117,0
97.79191412924108,5.796672933467267,1.621422889786837,1
52.092296058931474,6.343980491712628,1.8132550156302307,0
67.27383905116571,5.805096064674418,1.9842523092745945,0
71.23201584436828,5.219750248821089,1.6287267371424292,0
83.78503341422763,5.64268381592996,1.4930085759056213,1
68.62388266557755,6.703398982564012,1.3204324393830735,1
87.65570766468295,4.436140410661125,1.556984381125983,1
74.21420914871058,7.4853463923295855,1.8090644085795908,0
68.42176242460206,6.239444605916974,1.7300791702173806,0
89.07918015672226,5.922269487842039,1.472510393752259,1
49.03754645810584,5.049115318316564,1.8964493594706104,0
80.93675897216437,7.232445191719917,1.7841704092516033,0
67.0581948484123,5.530325155142852,1.2400794428447253,1
74.35939164097306,6.5397212690825945,1.5488720698770737,0
86.58270097931191,6.9685500465002255,1.6834102527934052,1
68.13819365625442,5.905691756823002,1.5397307747663045,0
99.23843911814284,6.407768087795523,1.7154632922768478,1
90.20619328365235,5.977250209230208,1.9012771035638576,1
64.96171842130363,6.170404657230124,2.04152851413224,0
68.55323281287056,7.114761132986743,1.3235350216716868,0
73.5361690253965,5.1468470873985455,1.462060724733654,1
94.66005774708222,7.1098742764934695,1.7274926020692858,1
70.99969101897818,5.570399400573429,1.6977648835114774,0
97.27611342564026,5.475607250131216,1.8254187617864297,1
86.71274004422304,6.8424290659348665,1.4769394551548272,0
84.73219934472766,5.688613683687493,1.7483447824101903,0
88.46843639283338,4.927708236771055,1.741987745652158,1
78.09669684129199,5.178208183016501,1.7767911364966749,1
95.27460665709027,5.754665804848077,1.4495224514896703,1
70.78283629939186,6.045128221185669,1.6717226663741869,1
100.0,4.931599773736191,1.966546885287454,1
80.7994214697425,4.849846590235789,1.2216646056007787,1
100.0,4.668886869533411,1.5054319409043184,1
68.78348927039717,5.239319734168491,1.2335688790330086,1
80.44442824042369,6.234245850899002,1.5076046643037584,1
53.808667255097234,4.614870171540383,1.992914773154271,0
95.46627394814942,5.792450197419857,1.8990402897454493,1
81.32456049413409,5.427768258675699,1.8395337895982584,1
88.81474509763578,4.84267133081473,1.462079916102739,1
91.20411633549496,3.9801983238572225,2.049942868415518,1
87.20833467141492,5.470388802406387,1.5054162708457268,1
100.0,5.993962336301696,1.803344764434696,1
83.6805958917106,6.238037521128835,1.5112280496748507,1
76.24335182381537,5.6138040657614745,1.523170208723652,1
81.69833733048361,5.336662052985057,1.8701707098236056,0
85.89034827261517,6.180569326862004,1.960071089868915,1
91.64696819321672,4.675974149139784,1.8592599730754555,1
56.86880127882397,6.240719090279187,1.676915535405509,0
55.38730206000509,6.137869072222659,1.8450434855079,0
63.47556287445033,5.584503904265717,1.8187402721285384,0
95.77769993581842,5.23786680936075,1.4977202078230922,1
100.0,6.189099853005465,1.676789956202388,1
79.96767952627727,4.401050897698868,1.4773581697192395,1
71.9462801031215,5.5968522234863505,1.4369324293583894,0
100.0,6.310234971438305,1.872254883489923,1
68.21976692620397,4.501201474929935,1.82640039560816,0
87.84275228981676,5.6417609911695585,1.5465670314493205,1
81.58643847355629,4.609876964180005,1.7043190335926477,1
98.09349659213628,6.139805105368767,1.3698180205763173,1
66.02818992636978,4.560053581170592,1.641909393717881,0
