con_fossil_share_elec_pct__last,x_log_signed_con_solar__last,cap_govt_effectiveness__last,coverage,density,con_fossil_share_elec_pct__last__cutoff,x_log_signed_con_solar__last__cutoff,cap_govt_effectiveness__last__cutoff,comparators,selected_density_threshold,selected_coverage_threshold,selected_solution
0.4383344140377684,0.8986585525486513,0.8999297457154828,0.774,0.8524229074889867,74.6507552581567,6.641367319003805,1.9789672401137024,"['>', '<', '<']",0.85,0.6,True
0.1658491970543707,0.8998221331684559,0.8994022651974078,0.854,0.6373134328358209,64.26159323933211,6.645377272096713,1.9783380063612024,"['>', '<', '<']",,,False
0.1657606436862845,0.8991011779304546,0.8990484948108415,0.854,0.6373134328358209,64.25751355503017,6.64267248885181,1.977891376769662,"['>', '<', '<']",,,False
0.1657606436862845,0.8991011779304546,0.89998395515934,0.854,0.6373134328358209,64.25751355503017,6.64267248885181,1.978969015939812,"['>', '<', '<']",,,False
0.1657606436862845,0.8991225586561231,0.8990665652892147,0.854,0.6373134328358209,64.25751355503017,6.642752702193088,1.977914190466572,"['>', '<', '<']",,,False
0.1657606436862845,0.8997350103157817,0.8990484948108415,0.854,0.6373134328358209,64.25751355503017,6.6450504162536035,1.977891376769662,"['>', '<', '<']",,,False
0.1657654232818462,0.8996605635702247,0.8994022651974078,0.854,0.6373134328358209,64.25773375265116,6.644771116930419,1.9783380063612024,"['>', '<', '<']",,,False
0.197149346525044,0.8996039025364045,0.8992350952189511,0.852,0.6553846153846153,65.38562745713699,6.64455854365702,1.9781269568725195,"['>', '<', '<']",,,False
0.1962976004766193,0.8996048540354469,0.899436433539259,0.852,0.6553846153846153,65.33671301233238,6.644562113363614,1.9783811433595044,"['>', '<', '<']",,,False
0.2005534887180251,0.8990002830308446,0.8996498257221635,0.85,0.6578947368421053,65.67211943606088,6.642293964888633,1.978650547659886,"['>', '<', '<']",,,False
0.201038449887295,0.8998464834454369,0.8999217366024529,0.85,0.6578947368421053,65.6736220980295,6.645468626202648,1.97896697774628,"['>', '<', '<']",,,False
0.2026301355666305,0.8990777033817008,0.8992672546491877,0.848,0.6583850931677019,65.89142050689397,6.642584420185679,1.9781675576512625,"['>', '<', '<']",,,False
0.2026301355666305,0.8990835087803819,0.8992672546491877,0.848,0.6583850931677019,65.89142050689397,6.642606200102455,1.9781675576512625,"['>', '<', '<']",,,False
0.2204074065780864,0.8997766687161489,0.8999985042050062,0.846,0.6735668789808917,66.86231031817033,6.645206704657354,1.978969492546346,"['>', '<', '<']",,,False
0.2204074065780864,0.8998642015308221,0.8999985042050062,0.846,0.6735668789808917,66.86231031817033,6.645535098540951,1.978969492546346,"['>', '<', '<']",,,False
0.2380694813794022,0.8996302105489659,0.8999217366024529,0.844,0.6884176182707994,67.78109316418477,6.644657242532944,1.97896697774628,"['>', '<', '<']",,,False
0.2380694813794022,0.8996302105489659,0.8999862906671549,0.844,0.6884176182707994,67.78109316418477,6.644657242532944,1.978969092447805,"['>', '<', '<']",,,False
0.2652016638554502,0.8987122800972527,0.8999835974290843,0.842,0.7087542087542088,68.78316889042893,6.641489437079079,1.9789690042210653,"['>', '<', '<']",,,False
0.2652016638554502,0.8999977532372215,0.8994684980244967,0.842,0.7087542087542088,68.78316889042893,6.645721443873299,1.978421624271668,"['>', '<', '<']",,,False
0.2652016638554502,0.8986859698286752,0.8999908535258266,0.842,0.7087542087542088,68.78316889042893,6.641429636112122,1.9789692419207192,"['>', '<', '<']",,,False
0.2840723422776294,0.8999326710491431,0.8992890544578611,0.84,0.7279029462738301,69.38463503527323,6.645686581378708,1.9781950795694705,"['>', '<', '<']",,,False
0.2840723422776294,0.8997753571858171,0.8992832279812676,0.84,0.7279029462738301,69.38463503527323,6.645201784233616,1.978187723733708,"['>', '<', '<']",,,False
0.2914873732876766,0.8998840335262985,0.8992890544578611,0.838,0.7363796133567663,69.64024883053371,6.645609501563843,1.9781950795694705,"['>', '<', '<']",,,False
0.2916696084375081,0.8983899818513651,0.8994880255945161,0.838,0.7363796133567663,69.64890670658718,6.640756881016567,1.9784462775240397,"['>', '<', '<']",,,False
0.3041323453959242,0.8999878073025082,0.8999841964125956,0.836,0.7477638640429338,70.14298001879662,6.645716116146844,1.9789690238429336,"['>', '<', '<']",,,False
0.303820311831971,0.8999332742633896,0.8999304717158215,0.836,0.7477638640429338,70.11427570412079,6.645686904501733,1.9789672638964653,"['>', '<', '<']",,,False
0.3066029663754447,0.8993495297372214,0.8997130651955746,0.834,0.748653500897666,70.254068195446,6.643604221878186,1.9787303865080523,"['>', '<', '<']",,,False
0.3068634138347589,0.8999486429407313,0.8999645152527906,0.834,0.748653500897666,70.2635944109189,6.645695137021973,1.978968379115466,"['>', '<', '<']",,,False
