iso3,country,income_group,avg_emissions,avg_policies_last_5_years,emission_pct_change,emission_change
AFG,Afghanistan,Low income,34.96780806226087,0.391304347826087,0.5146461632725063,13.067067114000004
AGO,Angola,Lower middle income,130.80311057147827,4.739130434782608,0.22744626814235222,25.365704635
ALB,Albania,Upper middle income,9.892394267627827,2.3043478260869565,0.07308540406024708,0.6301927155999998
ARE,United Arab Emirates,High income,211.9774072476,6.565217391304348,1.428247990068295,168.6171541836
ARG,Argentina,Upper middle income,424.58873583621744,10.608695652173912,0.08653322562089293,33.62825853100003
ARM,Armenia,Upper middle income,5.73442066801087,2.8260869565217392,0.854455731874855,3.2484770651700003
ATG,Antigua and Barbuda,High income,0.2770984917757217,1.1304347826086956,0.7175627180575664,0.13379484716350012
AUS,Australia,High income,589.4494847756522,38.30434782608695,-0.11599260421465245,-67.44065612500003
AUT,Austria,High income,81.32760298062173,17.391304347826086,0.10682366033431398,7.260305016000004
AZE,Azerbaijan,Upper middle income,49.99047134504348,4.260869565217392,0.717107036282256,27.358987892600005
BDI,Burundi,Low income,3.3395496076596287,1.2608695652173914,-12.495247770596189,7.166480731699286
BEL,Belgium,High income,133.38795940170002,16.0,-0.2531955288808885,-38.4974330676
BEN,Benin,Lower middle income,10.279593611769565,0.2608695652173913,3.411212977394094,12.933780184099996
BFA,Burkina Faso,Low income,64.13489612234923,1.608695652173913,0.6580739556052397,31.998539301105616
BGD,Bangladesh,Lower middle income,221.51391242691304,2.8260869565217392,0.7902514880341336,124.226797565
BGR,Bulgaria,Upper middle income,52.106020963,3.347826086956522,0.3020459201278517,13.569569918999996
BHR,Bahrain,High income,54.26101423907004,2.347826086956522,0.7674515813525468,30.376375484438
BHS,Bahamas,High income,-2.648706492201909,0.4782608695652174,-0.2223065435473788,0.6511911402489998
BIH,Bosnia and Herzegovina,Upper middle income,20.34109775150435,1.7826086956521738,0.8165649327301462,10.223227062000001
BLR,Belarus,Upper middle income,54.27354843886957,4.173913043478261,0.42204382872617213,18.29757645
BLZ,Belize,Upper middle income,-7.561260849871943,1.3478260869565217,-0.17905293562871996,1.309094373333
BMU,Bermuda,High income,0.26785328757833043,0.21739130434782608,1.0562315902737407,0.18176466407699998
BOL,Plurinational State of Bolivia,Lower middle income,83.96890604886957,3.869565217391304,0.31549373354028076,22.687589728999995
BRA,Brazil,Upper middle income,1910.755268149087,16.347826086956523,-0.1805630718862765,-369.2855098069999
BRB,Barbados,High income,0.8712270073478261,0.9130434782608695,0.07663330109115708,0.06213729169999993
BRN,Brunei Darussalam,High income,11.041377884782609,2.6956521739130435,0.39760742372187774,3.4565162828000027
