year,pop_total,electricity_from_renewables_pct,renewable_energy_consumption_pct,forest_area_pct,gdp_2015_usd,imports_2015_usd,industry_value_added_2015_usd,manufacturing_value_added_2015_usd,exports_2015_usd,iso_alpha_3
2021,460646603.0,2.48058649134782,,2.79112084453801,2766846308188.48,1075289564659.69,1060394386030.97,308690177157.834,1124738194613.68,
2020,453723239.0,2.19910390119397,5.13858498417462,2.80889526080167,2659633647264.58,996891076945.915,1029702131374.9,290711317188.152,1074778328268.01,
2019,444281315.0,1.49032204289305,4.73230713602678,2.82662078765584,2791146445688.45,1134349653149.3,1092742271516.94,298969192186.084,1174038102604.87,
2018,435998060.0,1.12499849976128,4.52639402004232,2.84442046915972,2747631798003.31,1097982414161.04,1091098485912.44,295898095481.806,1186276447760.63,
2017,428315886.0,0.895236921525003,4.37567300633967,2.86394290918001,2677219844271.11,1059567319307.16,1073065890022.48,291742617868.82,1118548573023.93,
2016,419808341.0,0.806996042308233,4.28791485864165,2.88332326122098,2636674297888.85,984421385413.906,1073529148992.82,283095337028.326,1070545152638.71,
2015,410190679.0,0.569699096353948,4.22349500938588,2.90093803852791,2544700996740.79,1044001212775.55,1032214460832.26,272060908984.593,1040111593631.99,
2014,400231008.0,0.442463336470625,4.35892992996109,2.91945174695356,2464744944259.34,1078893667374.72,1001775224825.3,259172346050.154,1020479021526.5,
2013,390954281.0,0.348591096765427,4.48401776900296,2.93793699681367,2404104967387.99,1039357708309.46,990730419646.358,245852893010.059,1023221280302.22,
2012,381030177.0,0.382637987450401,4.44968668236096,2.95640543718181,2344317186668.62,992238345872.82,991644864561.133,239280241732.383,1006902765874.11,
2011,372054934.0,0.479639575430949,4.67272069134643,1.69743202691255,2232625504183.02,895852259693.265,944306909975.797,235506929092.598,927118273879.38,
2010,363568534.0,0.26743203105601,4.82576885189732,1.70351032861463,2155681654882.28,920765307562.406,914478282663.157,225079246953.842,1043952856238.73,
2009,356386673.0,0.487612421710551,5.05183992823682,1.70543899396332,2056232674655.41,922999119181.65,867175626486.696,210563968006.01,953271007228.429,
2008,347684619.0,0.342996305967985,5.14676484189377,1.70698744257072,2042972736955.9,1016249182033.11,888765197693.201,208537303958.666,1017472855833.51,
2007,338947976.0,-0.32041117757554,5.61033367526005,1.70891841103747,1935262917507.71,869929696025.253,842558023532.973,190704452719.301,949059933057.553,
2006,330526310.0,0.0285419911139681,6.20432379909676,1.71085090568476,1849980652192.43,714295003148.502,822056086632.115,179316260267.448,898686736567.848,
2005,322628451.0,0.0231890272148392,6.41614597017232,1.71278950510318,1740413142251.47,631213442443.507,775061086479.512,167969775117.93,842117890981.801,
2004,315060277.0,0.265157973252136,6.77138769851273,1.71472049420213,1648597987325.98,549165851237.239,740770980478.507,160584079029.391,776296326638.545,
2003,307815105.0,0.148390681959469,6.46301679352422,1.71664843090733,1511413168092.65,455238775038.355,679453106276.073,152812821995.996,697066756565.651,
2002,300691509.0,0.208420693139136,6.36058400508412,1.71855036090738,1449362288443.21,408185823374.947,653903211644.629,149719642286.805,606234459131.553,
2001,293580252.0,0.177469811733985,6.51633516432792,1.72047979289802,1431761053627.6,385041128098.234,666496809246.61,144783214018.903,604792097605.855,
2000,286548096.0,0.140009097004263,6.67258176424439,1.72240922488866,1402269870797.04,,659508150834.801,,,
2022,3131505.0,,,90.1721118742943,45788913937.5777,,13911328541.6905,1658272576.4433,,
2021,3111609.0,4.72219910817862,,90.2551489827302,37206309803.7798,,9042541099.22799,1573768515.73111,,
2020,3092577.0,2.4898397201184,10.7807413376309,90.3382204075922,33688259724.7374,,7905141358.18474,1805311039.75871,,
2019,3079149.0,4.44312664741751,10.2083831026948,90.4212407391087,37266728870.6855,,6419875953.57983,1953096678.19178,,
2018,3048465.0,3.93616703134579,12.6224453125,90.5043373293498,36877637380.2445,,6331300062.29047,1964041713.1166,,
2017,3009507.0,3.58998372527138,13.4630392156863,90.5873576608663,35880521656.4584,,6295368047.9964,1947675398.95755,,
2016,2987438.0,3.29090640263232,12.1720060790274,90.6578461419733,35224239140.7815,,6172804576.90195,1857895640.92837,,
2015,2964524.0,3.0688591383114,12.5615447822514,90.7386041313266,35085992997.3327,,5808679558.43075,1860354282.07297,,
2014,2941203.0,2.77833289644773,12.9272812234494,90.8227581758822,35011151241.9536,,5868702824.99941,1873410296.02454,,
2013,2917125.0,2.42030564377917,14.9156804214223,90.9069122204377,34407113286.9104,,5783327899.80651,1900158618.69253,,
2012,2893251.0,6.03385736301571,16.7119075144509,90.9910662649933,34374458267.8694,,5675234836.24081,1880420702.53436,,
2011,2873088.0,6.81012893771758,18.5978595041322,91.0752203095489,33613671217.687,,5743518073.26937,1974734550.17736,,
2010,2855621.0,0.4832125189462,16.4555855096883,91.1593743541045,33060311258.622,,5589242407.65515,1953429542.41906,,
2009,2836793.0,-0.938626894462398,17.3008787346221,91.1985815063798,32761650025.9499,,5535312838.26414,1899883857.62871,,
2008,2816379.0,-3.9863061390275,18.4057142857143,91.237788658655,33653836392.5069,,5936720579.94371,2063779952.66103,,
2007,2795667.0,-2.80160856022037,18.6187926267281,91.2769958109303,33473466101.6686,,5617414436.03842,2047505283.34433,,
2006,2774985.0,-3.12777888014345,19.1972084130019,91.3162029632056,32411752624.9952,,5756432927.28248,2093246814.76124,,
2005,2754974.0,-1.58374640660351,17.823784295175,91.3554101154809,31018317550.1125,,5483345170.77819,2037010558.38235,,
2004,2735189.0,-1.83269979784104,19.1736021998167,91.3946172677562,30028733927.4293,,5063677947.6645,1945396613.74075,,
2003,2712281.0,-2.09697932468161,19.0237888784166,91.4338244200314,29213117375.2358,,4906014837.6385,1821401581.97367,,
2002,2686785.0,-2.41595926940462,19.9455959031657,91.4730315723067,28680303115.6496,,4756818756.48119,1718362741.27733,,
2001,2661520.0,3.62343345086877,18.6899731423456,91.512238724582,28083793737.3701,,4721196442.42002,1770416341.80927,,
2000,2636455.0,4.3609113391512,18.5507535460993,91.5514458768573,27747004119.4641,,4794133035.74026,1796481837.02874,,
2022,100289401.0,,,34.6188570565974,1640988150473.12,1143573611013.36,434005546446.707,287531978082.819,1143342258375.75,
2021,100647592.0,14.4657169725317,,34.5892800367668,1576853751533.48,1053803025458.42,425591426723.007,274149936339.622,1056207256008.07,
2020,102046650.0,14.6660579215746,19.6856532373123,34.5592847264491,1480167019635.12,923424999504.709,411312839249.022,265634685764.035,944609874719.428,
2019,102282674.0,13.0000839560071,18.8782681268682,34.5318870374642,1531139709524.93,973197053605.916,435807487824.571,286637227054.921,1002025902226.77,
2018,102439383.0,11.1004335425223,18.1372029233605,34.5008820276483,1472164889716.28,931931483714.547,422914152486.595,275532114935.806,961242719691.044,
2017,102656954.0,11.4601418333614,16.4670211158335,34.4710840221623,1401517693351.45,872574084549.005,403987657648.717,262735090852.386,913748058200.226,
2016,102926796.0,10.9577853144732,16.872230338825,34.3939142269346,1333237571352.72,805715141484.267,389825655609.454,251162412220.026,849325161524.42,
2015,103206007.0,11.0713147401859,17.1450343733474,34.3399778411909,1297123697168.52,757815512714.103,382894306359.01,242772926371.688,793170286033.728,
2014,103459388.0,9.76656413542668,17.0800618869512,34.2084078995082,1247157668184.38,712641570401.185,363417447983.318,226747068994.187,748109729445.993,
2013,103691959.0,7.99492433539581,16.6678855360829,34.099423226925,1207875852308.02,661938819015.609,341621248528.201,208170425537.841,704037442592.984,
2012,103928128.0,7.05999820843571,15.6972877331338,34.0007102947542,1200114894492.26,642572919985.303,349149556719.63,211887089243.518,669048218303.82,
2011,104174038.0,5.23106381028182,14.7632639324625,33.8641778866139,1190051936519.15,640026314904.309,358525051976.8,216766702520.329,646439839028.339,
2010,104421447.0,3.77731699016916,14.5611703409059,33.7345916725294,1148744003611.98,597128967088.156,339335062831.876,202915825337.715,592680500800.42,
2009,104800475.0,2.89271866990866,13.7651579899879,33.6099419487253,1131329359608.83,530330940290.839,327270397730.383,185922315143.261,521836567168.094,
2008,105001883.0,2.0694794440135,12.1836583630886,33.5162027850483,1173674124818.09,635136355835.935,347405204885.541,202786259301.006,581438172163.471,
2007,105378748.0,1.5069754534149,11.3773131737879,33.39143984532,1128932063595.89,600296301394.291,330427368329.958,190308197821.17,550110890753.66,
2006,105772481.0,1.12018349200628,11.0846985286912,33.2639312747045,1061701928866.3,517533057670.748,307352445549.913,176714243131.192,488761886014.569,
2005,106041911.0,0.94715763734939,11.2914130930657,33.1388507968216,995572169886.693,444977408509.79,278602422637.624,157278704956.811,424902327266.788,
2004,106331716.0,0.617609250347211,10.7903896387224,33.0101869464626,948984741191.326,401189127165.214,263574170574.803,146883999648.967,376699815839.656,
2003,106624167.0,0.344973452678172,10.2732489084258,32.8893064010782,896292897053.191,343863897478.541,244006126871.695,133168334330.675,328300165828.335,
2002,106959751.0,0.30264488306892,10.1547672804381,32.7669761324899,861715593789.618,312219493233.779,231089963632.102,123714522692.86,297520593454.589,
2001,107660041.0,0.293850675113803,9.88386573477463,32.5934628030289,832224596360.615,293148724256.494,223133446478.174,118303095405.584,280499213867.671,
2000,108447824.0,0.212432878201464,9.94111363707141,32.4694719942369,807932869778.156,276441905867.478,216752609957.771,112997116091.263,260716399806.883,
2022,3470644834.0,,,22.6533885340928,12924390685229.3,3504837358812.63,3955856809648.18,2157983577068.67,3289825689455.62,
2021,3432026092.0,7.38815952569638,,22.7044536487043,12248199938872.3,3152769696073.67,3792256141169.64,2077870760763.46,2927922185007.1,
2020,3396051187.0,7.15240239358246,25.039700621241,22.7804502901358,11403343729596.5,2726179152164.75,3507506554692.6,1909339329354.42,2537583583558.56,
2019,3355014793.0,5.68445344101173,23.3613434124336,22.845451012812,11900312123754.3,3136999223694.25,3649041619142.0,1953740859859.25,2861496859645.65,
2018,3314245247.0,4.72360979538039,22.9799993263271,22.9114950315294,11626230323429.6,3169326355064.53,3652115578536.28,1948356591679.31,2865637088488.51,
2017,3274060446.0,4.06615722521845,22.9318932699064,22.979169217919,11196023590939.2,3015920897255.68,3555237237596.38,1890315695709.7,2652792254261.09,
2016,3233033717.0,3.57315515974792,23.2950714112546,23.0686458167009,10699430921435.3,2745955426508.62,3411788489701.71,1797624954002.14,2487099050198.42,
