iso_alpha_3,year,pop_total,pop_growth,electricity_from_renewables_pct,renewable_energy_consumption_pct,forest_area_pct,gdp_2021_ppp_intl_usd,gdp_growth_pct,gdp_per_capita_2021_ppp_intl_usd,gdp_per_capita_growth_pct,industry_pct_of_gdp,manufacturing_pct_of_gdp,exports_pct_of_gdp,cpia_public_sector_management_quality_score,agricultural_land_pct,arable_land_pct,cereal_yield_kg_per_hectare,crop_production_index,food_production_index,fertilizer_consumption_kg_per_ha_arable_land,renewable_energy_output_pct,energy_use_kg_of_oil_equivalent_per_capita,population_in_urban_agglomerations_over_1m_pct,electricity_consumption_kwh_per_capita,fossil_fuel_energy_consumption_pct
AFG,1960,9035043.0,,,,,,,,,,,,,,,,,,,,,3.15828048632419,,
AFG,1961,9214083.0,1.9622391202036,,,,,,,,,,,,57.878355794735,11.7289913067476,1115.1,43.24,41.0,0.143790849673203,,,3.25978179271882,,
AFG,1962,9404406.0,2.0445228359303,,,,,,,,,,,,57.9550158686353,11.8056513806479,1079.0,44.13,41.34,0.142857142857143,,,3.36200925396032,,
AFG,1963,9604487.0,2.1052082248002,,,,,,,,,,,,58.0316759425356,11.8823114545482,985.8,43.02,41.16,0.141935483870968,,,3.46534906028818,,
AFG,1964,9814318.0,2.16119547210755,,,,,,,,,,,,58.1160020238259,11.9589715284486,1082.8,46.91,44.6,0.141025641025641,,,3.57011052627396,,
AFG,1965,10036008.0,2.23370858013984,,,,,,,,,,,,58.123668031216,11.9589715284486,1098.9,48.58,46.7,0.141025641025641,,,3.67485757285168,,
AFG,1966,10266395.0,2.26965142881696,,,,,,,,,,,,58.1926620977263,12.0126335801788,1012.3,47.74,48.42,0.1914486279515,,,3.78158058403169,,
AFG,1967,10505959.0,2.30666800699098,,,,,,,,,,,,58.2294589331984,12.0264323934808,1224.5,53.23,53.06,1.2748597654258,,,3.88433840261513,,
AFG,1968,10756922.0,2.36068343389987,,,,,,,,,,,,58.2309921346764,12.0264323934808,1287.5,54.52,55.39,1.9122896481387,,,3.98220792155972,,
AFG,1969,11017409.0,2.39272037816067,,,,,,,,,,,,58.2555233583245,12.0509636171289,1310.4,56.01,56.07,2.16284987277354,,,4.08067813403315,,
AFG,1970,11290128.0,2.4452057451213,,,,,,,,,,,,58.2708553731046,12.066295631909,1105.1,51.11,51.34,2.46505717916137,,,4.17967803376543,,
AFG,1971,11567667.0,2.42851631309344,,,,,,,,,,,,58.3168514174448,12.1122916762492,976.2,46.46,48.16,2.59493670886076,,,4.28178819462905,,
AFG,1972,11853696.0,2.44258389899974,,,,,,,,,,,,58.3352498351808,12.1276236910292,1006.9,54.0,51.38,3.68015170670038,,,4.45859249300809,,
AFG,1973,12157999.0,2.53475893911385,,,,,,,,,,,,58.3370896769544,12.1276236910292,1279.6,58.51,55.23,3.10998735777497,,,4.7142708269675,,
AFG,1974,12469127.0,2.5268442145866,,,,,,,,,,,,58.3387761985803,12.1276236910292,1301.9,60.76,56.89,4.28571428571429,,,4.98556153931225,,
AFG,1975,12773954.0,2.41525048462279,,,,,,,,,,,,58.3387761985803,12.1276236910292,1316.4,62.45,58.51,4.59974715549937,,,5.27834999249254,,
AFG,1976,13059851.0,2.21344608328696,,,,,,,,,,,,58.3383162381369,12.1276236910292,1362.4,66.43,63.13,5.59241466498104,,,5.60025531684856,,
