year,pop_growth,pop_total,pop_urban_pct,poverty_headcount_ratio,access_to_electricity_pct,electricity_consumption_per_capita_kwh,energy_use_per_capita_kg_of_oil_equivalent,energy_use_kg_of_oil_equivalent_per_gdp,electricity_from_coal_pct,electricity_from_natural_gas_pct,electricity_from_renewables_pct,renewable_energy_consumption_pct,forest_area_pct,agriculture_value_added_pct,annual_freshwater_withdrawals_pct,iso_alpha_3
2022,2.62665871413246,731821393.0,37.9090120211831,,48.8012579607658,497.161667682854,565.488908602847,136.911837024892,53.4529603278001,3.0208060835714,,,29.7372051021705,13.8407446717648,,
2021,2.68484883132038,713090928.0,37.3936325291716,,48.1272110400485,513.745842368759,570.998887587248,139.730029573862,54.663797315006,2.61507906020761,4.93931845790503,,29.9551937873237,13.4044384367582,5.04173888731344,
2020,2.73628313165544,694446100.0,36.8840344817359,,46.2823709455637,512.766660655158,563.976200963134,140.68798717149,56.7217625634378,2.44952846053731,4.58579206497238,66.1234486957514,30.1742524356603,14.6442681024484,5.01201100451766,
2019,2.75905656190882,675950189.0,36.384272287815,,44.3908605333639,548.496602112228,586.441491211765,138.644200873744,58.600950247604,2.7319001948847,5.17379632942775,63.3870896989865,30.3916258622835,12.6275737797666,4.9609440676344,
2018,2.7719868292526,657801085.0,35.8933979262181,,43.0350733507835,568.141298635339,583.76303920458,137.485602034678,60.4857723512065,2.03554951464652,3.945917441939,62.2426314030968,30.6115118196972,11.9139864893255,4.9175377607198,
2017,2.67727931034587,640058741.0,35.3962894579202,,40.2237441730368,566.073367993878,596.300319411783,140.597156709471,61.9084201951037,1.90708353036363,3.78840765166538,61.8911318801459,30.8243162615385,12.446983160879,4.88181288522108,
2016,2.67591983861189,623369401.0,34.9195443761507,,38.8595976583714,568.70345182297,605.778276109686,143.098339478016,62.9383657748087,1.90677640777221,2.47643180207433,62.4576883595774,31.0396815593755,12.9927693028971,4.86812886110105,
2015,2.73352397052172,607123269.0,34.4472807617476,,33.9222756622758,582.708405096372,607.144577203608,143.308445989881,63.2809249234447,1.17830657805794,2.56792678260187,62.1283378931582,31.2604197322287,12.8562394206678,4.79242732745485,
2014,2.74099739577196,590968990.0,33.9596331101231,,31.8719561283579,591.416869783805,619.213257248707,147.047171351632,64.8537272385107,0.830692076146409,1.573631022603,61.499576835816,31.4706339012314,11.9650929912911,4.66819427529352,
2013,2.78635819350615,575202699.0,33.4965565572998,,31.7235735731483,602.67001551757,611.13690047424,147.333011565921,67.0329820144896,0.921770277485406,1.09242715496842,61.0826852828279,31.6806349371412,11.1693427354166,4.54311753086277,
2012,2.73011584727331,559609961.0,33.052742223393,,31.6734274619175,608.999899242723,608.84743765174,149.012083908147,68.9941111138173,0.922703388590887,0.684599736929577,61.7183967592541,31.8906540898919,10.839279796386,4.57792192635851,
2011,2.72098204624473,544737983.0,32.6280688229592,,28.909756234127,636.864902252909,632.967747456754,152.241002981377,70.1040143592549,0.84091316062936,1.04225856528709,63.1246524339127,36.4089620173726,10.1130289027178,3.21099831384719,
2010,2.77225647530945,530308387.0,32.1955953471221,,27.414953756332,634.86034996756,625.014804880129,152.69002971571,71.0067411765811,0.759960334564615,0.699483278827257,63.0998368387508,36.6482350829761,10.9061337467252,3.18876925599428,
2009,2.77504408278003,516003448.0,31.7742373050596,,26.1878464781111,619.994214021894,657.083577154326,164.707891252316,71.1375897039957,0.682014002733848,0.986166306686343,61.4204207108602,36.8486322944731,12.5078465329155,3.1563597359922,
2008,2.76107013779404,502070763.0,31.3627828804762,,25.9088451344457,651.430356985593,655.822831600716,161.392937406571,73.0910554165552,0.496836207344678,0.637084947316999,62.0293694728243,37.047084435571,12.1914821307912,3.13109894920578,
2007,2.72799150372742,488580707.0,30.9582450271517,,26.7951445862147,681.946381697062,637.375567210962,159.929746242891,74.0491084371458,0.415394631242709,0.9193143427771,61.6429091855007,37.2453251750786,10.9450277797119,3.08964648634674,
2006,2.70572341571184,475606210.0,30.704020023887,,25.1724823105969,674.530559725657,627.567678278063,163.919586001415,74.4319001271574,0.47008779696659,0.601989083202435,62.9042205481805,37.4438212701902,10.000562061435,3.06317633447398,
2005,2.69413117273318,463076637.0,30.3809953392877,,23.449539355606,668.642063334973,623.667268240424,169.470819130152,74.9599060556033,0.42562979510513,0.680765547434465,63.2439096118089,37.6421527632078,9.76088731295034,3.03452472258519,
2004,2.67656489470536,450928044.0,30.0480397812627,,23.724454932615,666.124488185369,639.47408880147,180.262164244642,75.0661956445709,0.17689037521359,0.576937498550841,63.7751947542527,37.8406467655959,9.83708706150514,2.97622251034485,
2003,2.65366707958296,439173286.0,29.7348697219553,,22.4932167182052,663.520508827763,625.458658680637,181.472663338985,75.7369901199419,0.0622283397176323,0.353028512175145,64.7295972927242,38.5024345889681,10.9883569113068,2.9157646418005,
2002,2.64210223593955,427820358.0,29.4238903158694,,21.5486466155625,658.582962136586,602.124818572355,175.629628890286,75.0141879439501,0.0655677932140042,0.154401462617912,65.1521153198181,38.7032073423792,12.7550338735034,2.84594224472094,
2001,2.62243809415206,416807868.0,29.110011172433,,19.9442774203583,637.434476993485,618.831952275004,182.840966783073,75.5495672864498,0.0681373808335238,0.787750486302477,65.8786989918387,38.9039800957902,12.4998474645034,2.65699739554066,
2000,2.62936284726334,406156661.0,28.8133608282101,,19.9172563342889,668.783360793198,632.698248798707,189.115310946687,75.6422576820951,0.0692565733050006,0.466431605290502,65.4495238865207,39.1047528492012,12.4995736780891,2.58259252744609,
2022,2.35968049760977,497387180.0,49.1298079868363,,55.6866829669796,203.999367731778,351.913061564233,69.6983689170864,0.731325586910126,58.2546834242352,,,19.6474877713602,21.7902024230433,,
2021,2.39198885812581,485920997.0,48.5319710590465,,54.368598708444,200.861530997543,350.102510019168,70.3071764743608,0.534897740563031,56.2335103314776,1.26862925948468,,19.7320365324224,21.5151777514013,1.70531279998314,
2020,2.41794516785151,474569351.0,47.9310209575797,,51.8560428463068,193.378592547306,336.566406948633,68.7286647200994,0.34131190544685,56.4977708125929,1.19924766060327,76.1028186880091,19.8167839774834,22.2460073462302,1.70717215239881,
2019,2.4700607921237,463365429.0,47.3226173576126,,51.2915769115352,188.361690483295,341.666132517863,67.5175637325555,0.978681443845597,52.0620473914597,0.710267684050053,75.3289283798123,19.9012301104615,20.5497114799083,1.7040138392575,
2018,2.56598948293087,452195915.0,46.7097526162217,,51.3358293517534,182.920553801684,325.467827141414,64.8571130961792,0.720139053458111,51.9744129624184,0.427208481947933,75.9600298068077,19.9860995956125,20.3692612830041,1.69341027502581,
2017,2.66108668870844,440882906.0,46.0941365580819,,48.9007280475057,179.97242248386,332.429748033803,66.4509906789389,0.574840534261214,50.7470550200879,0.257871252744449,76.4130814959741,20.0713271823989,20.3095620048709,1.61793633868334,
2016,2.7089556783763,429454743.0,45.4738502261529,,51.0451271925992,215.380351281936,343.896337502189,68.4862824004143,0.586734259491254,58.1322292739528,-0.365302890614928,76.2833830991289,20.1526101563381,20.4519248258547,1.62423024139293,
2015,2.73612176996667,418127845.0,44.8490994916973,,46.8624182524845,201.734660192319,336.978667905031,65.39212135561,0.452158320282319,59.1894788236323,-0.0939973781261485,76.6891600561783,20.2342307683804,20.1708131496129,1.61979065549609,
2014,2.76793027558122,406992047.0,44.2182784910463,,47.7673605462369,195.756413228987,354.759851343277,68.9460147218781,0.310951767667978,55.5739960782949,0.707461682156242,76.1358024948566,20.3221869203098,19.1550125164734,1.60209281545374,
2013,2.76880017046071,396030207.0,43.5879525927349,,47.1945030733476,174.82389533979,356.913661271615,71.4758717070278,0.309915578208575,51.5615477236504,1.42295899252224,77.1379412154111,20.4101430722392,19.5292686332717,1.59748818175976,
2012,2.82029989246541,385360349.0,42.9568375522776,,44.1865003474968,168.95063583861,353.413958029407,73.0970185830014,0.361778629081191,49.01957991519,0.0239998814961341,78.8868764432574,20.4980992241686,20.3790798156056,1.59294675786962,
2011,2.86308116459111,374790143.0,42.3164260992184,,46.0619669218462,156.831015713278,359.064392844876,76.120824761009,0.393049406772842,49.6219481254934,-0.524451218252783,79.5769126675124,20.586055376098,20.5539867434108,1.58783732373949,
2010,2.82618879079497,364358270.0,41.6724226228926,,41.9519903118982,154.782989566006,336.412979107051,72.7292934793805,0.329025006063344,46.4651393933984,1.80730829691933,80.9395137178094,20.6740115280274,22.1316483154515,1.58286074723984,
2009,2.83172616224063,354343844.0,41.0233922174474,,42.0024854401026,135.529006148218,295.423285524058,66.3933872366906,0.357664065548408,41.7420218559379,6.02152186440385,82.818630343753,20.7661387298829,23.7006055527405,1.5685501912623,
2008,2.86638405272015,344586109.0,40.3795094007576,,41.8660146613745,137.948378380043,306.79657435129,71.2154616045582,0.324622626197046,43.1448051466759,3.79157350966784,81.6105898353143,20.8582659317383,22.6814644472709,1.55423963528476,
2007,2.8621653297362,334984176.0,39.7385907099206,,40.8648618879836,140.648668156225,300.302468319768,72.3771620713972,0.29265099443578,45.6208244286567,3.51568185756368,82.4864593391866,20.9503931335938,22.137519479432,1.53993464806894,
2006,2.86639681729919,325663158.0,39.0946115629788,,39.9529044823027,140.164595297373,302.907262026617,74.7845014394863,0.31718091125506,44.3632963567499,8.38858042359416,81.9801467880255,21.0425203354492,22.3539062121965,1.5257000006479,
2005,2.88029023306842,316588476.0,38.4483793654511,,37.9359101368567,134.459038768033,312.334701917274,78.8816973443401,0.315648746075367,42.4341193120296,11.0785717653395,81.0568164946989,21.1346475373047,23.2290542611762,1.51032080005689,
2004,2.86894877930308,307725100.0,37.8109522443181,,37.5945022413501,135.895531952181,302.295886835961,78.4941925261567,0.308339930061249,42.2419053714831,0.0827681106380097,80.8757704707822,21.2267747391601,23.833214034248,1.4845480114041,
2003,2.85414618624536,299142845.0,37.1831143920223,,39.9602539341217,122.89251650092,296.980066862543,80.7502402193555,0.335394042676626,39.6935903479033,1.91677695389692,80.8145905716618,21.3189019410156,27.5147409935153,1.46258369701966,
2002,2.8506462836361,290841795.0,36.5627714477109,,35.809110964429,136.29538360037,292.177320461456,81.5361044514243,0.309334392425071,40.9977743065988,-3.13909512984365,81.8649253938099,21.411029142871,29.6363627204216,1.44061938262468,
2001,2.84115181710705,282780717.0,35.9510346012348,,35.3232672070551,120.442446686121,289.237182398885,85.9475080260237,0.337730211025934,35.512079651906,1.73086733150791,82.1203722327835,21.5031563447265,22.7669460218311,1.4020307399075,
