iso_alpha_3,year,pop_growth,food_production_index,pop_total,exports_pct_of_gdp,renewable_energy_output_pct,energy_use_kg_of_oil_equivalent_per_capita,population_in_urban_agglomerations_over_1m_pct,gdp_per_capita_growth_pct,industry_pct_of_gdp,fossil_fuel_energy_consumption_pct,cereal_yield_kg_per_hectare,electricity_consumption_kwh_per_capita,gdp_2021_ppp_intl_usd,gdp_per_capita_2021_ppp_intl_usd,fertilizer_consumption_kg_per_ha_arable_land,crop_production_index,agricultural_land_pct,arable_land_pct,electricity_from_renewables_pct,renewable_energy_consumption_pct,forest_area_pct,gdp_growth_pct,manufacturing_pct_of_gdp
ALB,1980,2.04796386136191,41.13,2671997.0,23.9574919106695,,,,,,,2364.0,,,,160.17094017094,48.98,40.8029197080292,21.3503649635036,,,,,
ALB,1981,2.00297430640894,42.77,2726056.0,23.8105066597225,,,,3.64864854723079,,,2500.6,,,,138.43537414966,50.89,40.7299270072993,21.4598540145985,,,,5.74563529228132,
ALB,1982,2.11327178253342,44.14,2784278.0,20.0729179060642,,,,0.79584007109321,,,2715.2,,,,179.966044142615,53.23,40.6569343065693,21.4963503649635,,,,2.94859680118944,
ALB,1983,2.12088533357751,48.08,2843960.0,18.8520751406844,,,,-1.01680217228541,,,3046.0,,,,174.363327674024,59.51,40.5109489051095,21.4963503649635,,,,1.10493826195055,
ALB,1984,2.10393661802013,44.62,2904429.0,18.0403314265347,,,,-3.30749720231947,,,2966.3,,,,159.592529711375,54.66,40.6204379562044,21.4963503649635,,,,-1.25159664405811,
ALB,1985,2.05599460887143,44.0,2964762.0,16.8203725696072,,,,-0.290595348322213,,,2900.6,,,,159.762308998302,54.63,40.5839416058394,21.4963503649635,,,,1.78064395924895,
ALB,1986,1.93322081083734,43.73,3022635.0,15.6061801305352,,,,3.61465554406625,,,2990.3,,,,163.497453310696,55.17,40.5474452554745,21.4963503649635,,,,5.63724317852117,
ALB,1987,1.99703995612751,45.24,3083605.0,16.0299218388153,,,,-2.74949637948959,,,2965.6,,,,161.016949152542,55.99,40.5474452554745,21.5328467153285,,,,-0.787842654927232,
ALB,1988,1.88671052887888,43.89,3142336.0,16.9793941336596,,,,-3.26252233446826,,,2875.0,,,,163.559322033898,48.17,40.7664233576642,21.5328467153285,,,,-1.42003965566396,
ALB,1989,2.68786198874035,49.0,3227943.0,18.5933534612466,,,,6.92361728508746,,,2961.7,,,,182.989690721649,56.43,40.5109489051095,21.2408759124088,,,,9.8365489718722,
