year,pop_total,pop_growth,electricity_from_renewables_pct,renewable_energy_consumption_pct,forest_area_pct,gdp_2021_ppp_intl_usd,gdp_growth_pct,gdp_per_capita_2021_ppp_intl_usd,gdp_per_capita_growth_pct,imports_pct_of_gdp,industry_pct_of_gdp,manufacturing_pct_of_gdp,exports_pct_of_gdp,iso_alpha_3
2022,731821393.0,2.59275445199729,,,29.7372051021705,2908436936590.08,3.55576878716199,3974.24421369721,0.905330140015167,30.0117749989343,26.9325147667092,10.5387834886482,27.4618215194812,
2021,713090928.0,2.6494391643563,4.93931845790503,,29.9551937873237,2805000858120.37,4.56356807595664,3933.58090529567,1.82959732231033,26.3447850546884,26.0857745722645,10.4114069798642,25.8854635242059,
2020,694446100.0,2.69951609745311,4.58579206497238,65.7823798017466,30.1742524356603,2681304181217.77,-2.85978392104712,3861.06881616553,-5.44702113228222,24.2562672383954,25.4357297498259,10.4474977827932,22.041722250922,
2019,675950189.0,2.72168052257397,5.17379632942775,62.6907096127666,30.3916258622835,2753587184028.34,2.20034043292389,4073.65398935977,-0.543714731993802,26.7409748793602,26.4228370463514,10.7841201403751,23.9260802442033,
2018,657801085.0,2.73426282366823,3.945917441939,61.5875298317964,30.6115118196972,2689355818202.37,2.66503807456533,4088.40283108133,-0.104064111229988,28.5208504212826,27.8583006587141,10.8394510911313,25.3063998411714,
2017,640058741.0,2.64206728810391,3.78840765166538,61.4269497576408,30.8243162615385,2614938373447.6,2.69623782915112,4085.46623293064,0.0184641811046902,27.6453434288377,26.2857181192964,10.9119528127645,23.945473605091,
2016,623369401.0,2.64074325542301,2.47643180207433,61.8228841937413,31.0396815593755,2539723878354.63,2.19599120737905,4074.18759130693,-0.46742082465606,28.434077121597,25.0321295317184,10.6807345632626,23.2541511848562,
2015,607123269.0,2.69683038788555,2.56792678260187,61.6702780479896,31.2604197322287,2474124255249.97,3.00336692879381,4075.15966127461,0.262663002146752,30.9129064941736,25.2180674232384,10.3285236637929,24.0726319366809,
2014,590968990.0,2.70410469635343,1.573631022603,61.2358816947099,31.4706339012314,2394620940448.88,4.01435055814143,4052.02469329039,1.23938174112168,33.068165447177,27.186253746829,10.0272277945842,28.6004395761468,
2013,575202699.0,2.7482455829431,1.09242715496842,60.8017990466951,31.6806349371412,2295195424719.61,4.31772516764461,3990.23757835255,1.48985429686644,34.1742895781048,27.8459480322243,10.1889602330856,29.1951498054011,
2012,559609961.0,2.69351289263264,0.684599736929577,61.4099642987411,31.8906540898919,2199491396739.71,1.76796954241271,3930.40072555055,-0.936576676591102,33.1661486531543,28.5566166014732,10.5783977631537,29.9567241421061,
2011,544737983.0,2.68462143269084,1.04225856528709,62.8052791594478,36.4089620173726,2137027381112.13,4.05892327211205,3923.03721753167,1.30250042319982,32.1321070440404,28.7747163971712,10.7758875465673,31.4356203221582,
2010,530308387.0,2.73452519643287,0.699483278827257,62.8763868126774,36.6482350829761,2048396369184.93,5.20794344063218,3862.65127876421,2.3699849053211,29.9028978595381,27.6421606866674,11.3568538928641,29.5206439886886,
2009,516003448.0,2.73723757208867,0.986166306686343,61.3046006287143,36.8486322944731,1944396977076.13,0.892651361101571,3768.18601622238,-1.83156595891342,31.5668362307823,26.6991157257869,11.7501063439424,27.3046938821189,
2008,502070763.0,2.72364001522085,0.637084947316999,61.9080266133138,37.047084435571,1925953022946.39,4.36617310328626,3836.01907316478,1.56197572031891,35.9526963235352,30.5971689632739,11.2040301011777,35.562963944185,
2007,488580707.0,2.69144498343854,0.9193143427771,61.5051686589556,37.2453251750786,1840433287154.69,6.64693504718772,3766.89717949646,3.81487410207772,31.6765501158148,29.1580062157935,11.8987275420488,31.949927945622,
2006,475606210.0,2.66976588552462,0.601989083202435,62.7381235737246,37.4438212701902,1722052111028.93,6.57743860346751,3620.75194734932,3.76971707027904,29.3833271766184,27.9721466441558,12.2442039087303,29.577386325635,
2005,463076637.0,2.65847839652985,0.680765547434465,63.1090982683818,37.6421527632078,1612868516708.63,6.16249334973169,3482.9408090148,3.37737136230763,28.0165250904774,27.8736794915037,13.5840480114317,27.6230275042442,
2004,450928044.0,2.64137149821667,0.576937498550841,63.6780350675331,37.8406467655959,1515927071020.4,5.55444775546961,3361.79373004443,2.80286242894421,26.8511727542412,26.9355433008991,14.418227621222,25.6901041698911,
2003,439173286.0,2.61906809457548,0.353028512175145,64.6151241962775,38.5024345889681,1433121004056.31,2.95293851342404,3263.22444862075,0.291535063826871,26.1369627133541,26.6436209356954,14.4887769549278,25.5149867732464,
2002,427820358.0,2.60780157535376,0.154401462617912,65.0992811815578,38.7032073423792,1389413314434.6,3.83384813978296,3247.65591083583,1.16106926678485,27.6505034161165,27.3859801501421,14.1192784924991,27.7950198229929,
2001,416807868.0,2.5886417713116,0.787750486302477,65.8173627780445,38.9039800957902,1336940536076.44,3.50548806176488,3207.57029489769,0.860484299547309,26.568173884396,26.7868000822369,14.7301147359236,27.2553867395608,
2000,406156661.0,2.59538933998788,0.466431605290502,65.3858665294723,39.1047528492012,1289737167972.04,3.21216748277071,3175.46723177352,0.56787318885992,25.8556527329861,26.7415126309128,14.6216714068333,25.5952247765203,
2022,497387180.0,2.33227039388145,,,19.6474877713602,2399961902149.8,3.97496354483744,4825.13823969045,1.57804619883059,,30.0361526497104,12.8157562258505,,
2021,485920997.0,2.3638289749527,1.26862925948468,,19.7320365324224,2306546845821.81,4.03000030607359,4746.75278504545,1.59974570883409,,29.3993066268417,13.2154470501327,,
2020,474569351.0,2.38917570433681,1.19924766060327,75.846980103796,19.8167839774834,2216272293564.54,-0.984117425153343,4670.07043100122,-3.32174462925346,,27.1835575213791,11.9740042263781,,
2019,463365429.0,2.44004800908883,0.710267684050053,75.0787881678252,19.9012301104615,2234491825449.88,3.28216299793968,4822.3101802657,0.792526323823935,,27.5089101024665,11.348542430413,,
2018,452195915.0,2.53362052736347,0.427208481947933,75.4765777368905,19.9860995956125,2159623943544.34,2.90465437511295,4775.85902903245,0.330192195180288,,26.6968345785938,10.4310816838673,,
2017,440882906.0,2.62629564056769,0.257871252744449,76.1016805879549,20.0713271823989,2094856130654.29,2.29616754739388,4751.50227451614,-0.355460041467396,,24.4242116167711,9.95929751650972,,
