x_log_signed_con_demand_per_capita__last,con_fossil_share_elec_pct__last,x_log_signed_con_solar__last,coverage,density,x_log_signed_con_demand_per_capita__last__cutoff,con_fossil_share_elec_pct__last__cutoff,x_log_signed_con_solar__last__cutoff,comparators,selected_density_threshold,selected_coverage_threshold,selected_solution
0.6878721389968302,0.2747555666948351,0.8524817102488813,0.6412825651302605,0.7511737089201878,1.3631801015794962,64.66434858844359,4.427053506065842,"['<', '>', '<']",0.75,0.6,True
0.8988120583491024,0.1003929866309672,0.898449545316682,0.8677354709418837,0.598893499308437,1.4093383590977204,61.533352786970255,4.604128818695031,"['<', '>', '<']",,,False
0.8988120583491024,0.1003929866309672,0.8983783461599764,0.8677354709418837,0.598893499308437,1.4093383590977204,61.533352786970255,4.6040799063660005,"['<', '>', '<']",,,False
0.8996624684063285,0.1034864303021293,0.8984861896886014,0.8657314629258517,0.6,1.409629154455309,61.56030080358307,4.604153992610839,"['<', '>', '<']",,,False
0.8988120583491024,0.109550472291622,0.8981028453268974,0.8637274549098196,0.603641456582633,1.4093383590977204,61.68075009179617,4.60389064306543,"['<', '>', '<']",,,False
0.8858031227522107,0.1101692528312157,0.8986170492020191,0.8557114228456913,0.6056737588652482,1.4059186892454871,61.69526413496331,4.604243890355044,"['<', '>', '<']",,,False
0.8649318721178686,0.1006401486976976,0.897871740169632,0.8537074148296593,0.6120689655172413,1.3973040094872886,61.534657038642,4.603731878664052,"['<', '>', '<']",,,False
0.8654798111715971,0.1035087645501528,0.8983822117411394,0.8517034068136272,0.6132756132756133,1.3973862276239162,61.56042700794493,4.604082561939275,"['<', '>', '<']",,,False
0.8655080924755983,0.1097681017620118,0.8979453922881198,0.8496993987975952,0.6162790697674418,1.3973904712274714,61.68585478291938,4.603782476126438,"['<', '>', '<']",,,False
0.8647743196464414,0.1093690353729222,0.8986142064926214,0.8496993987975952,0.6162790697674418,1.3972803687729909,61.6764943288857,4.604241937473242,"['<', '>', '<']",,,False
0.854886493375063,0.1102581937938484,0.8985403944479992,0.845691382765531,0.6196769456681351,1.395293205092153,61.69735032366573,4.604191230144953,"['<', '>', '<']",,,False
0.8419288259269047,0.1041992527339352,0.8981184678497374,0.8396793587174348,0.6207407407407407,1.391553365685897,61.56432875652934,4.603901375411328,"['<', '>', '<']",,,False
0.8424915679897054,0.108642412248038,0.898638811794808,0.8376753507014028,0.6238805970149254,1.3920144672774295,61.653666250320214,4.604258840800362,"['<', '>', '<']",,,False
0.8424915679897054,0.108642412248038,0.8859704570370982,0.8296593186372746,0.6253776435045317,1.3920144672774295,61.653666250320214,4.569621063928883,"['<', '>', '<']",,,False
0.8424915679897054,0.108642412248038,0.8813428930785773,0.8256513026052105,0.6261398176291794,1.3920144672774295,61.653666250320214,4.546584444530861,"['<', '>', '<']",,,False
0.8554516065399003,0.1101157885114139,0.8576147734019935,0.8196392785571143,0.6292307692307693,1.3953636413725936,61.69401008220009,4.4729380837903685,"['<', '>', '<']",,,False
0.8554516065399003,0.1101681748583991,0.8576147734019935,0.8196392785571143,0.6292307692307693,1.3953636413725936,61.695238850160386,4.4729380837903685,"['<', '>', '<']",,,False
