future_id,iso_alpha_3,2022,2030,vulnerability_threshold,vulnerability_indicator,ndc_unconditional
id_MEX_1,MEX,787.6710940988988,764.1844434830128,808.5321233904137,0,644.2
id_MEX_10,MEX,787.6710940988988,796.6944857850087,808.5321233904137,0,644.2
id_MEX_100,MEX,787.6710940988988,797.8434795208009,808.5321233904137,0,644.2
id_MEX_1000,MEX,787.6710940988988,829.9573125656724,808.5321233904137,1,644.2
id_MEX_101,MEX,787.6710940988988,874.8800286105892,808.5321233904137,1,644.2
id_MEX_102,MEX,787.6710940988988,832.8785452284746,808.5321233904137,1,644.2
id_MEX_103,MEX,787.6710940988988,821.0218644103794,808.5321233904137,1,644.2
id_MEX_104,MEX,787.6710940988988,768.3374466740805,808.5321233904137,0,644.2
id_MEX_105,MEX,787.6710940988988,848.5105267967759,808.5321233904137,1,644.2
id_MEX_106,MEX,787.6710940988988,899.0773062599374,808.5321233904137,1,644.2
id_MEX_107,MEX,787.6710940988988,816.5168158223047,808.5321233904137,1,644.2
id_MEX_108,MEX,787.6710940988988,828.9653805934071,808.5321233904137,1,644.2
id_MEX_109,MEX,787.6710940988988,869.482583035497,808.5321233904137,1,644.2
id_MEX_11,MEX,787.6710940988988,775.2401994184727,808.5321233904137,0,644.2
id_MEX_110,MEX,787.6710940988988,774.7232343153968,808.5321233904137,0,644.2
id_MEX_111,MEX,787.6710940988988,853.1478943188006,808.5321233904137,1,644.2
id_MEX_112,MEX,787.6710940988988,821.1671436936759,808.5321233904137,1,644.2
id_MEX_113,MEX,787.6710940988988,803.8379255283047,808.5321233904137,0,644.2
id_MEX_114,MEX,787.6710940988988,844.9362895833842,808.5321233904137,1,644.2
id_MEX_115,MEX,787.6710940988988,797.3703575836493,808.5321233904137,0,644.2
id_MEX_116,MEX,787.6710940988988,795.985194246457,808.5321233904137,0,644.2
id_MEX_117,MEX,787.6710940988988,846.8204781425204,808.5321233904137,1,644.2
id_MEX_118,MEX,787.6710940988988,728.9302545920368,808.5321233904137,0,644.2
id_MEX_119,MEX,787.6710940988988,832.6746133827016,808.5321233904137,1,644.2
id_MEX_12,MEX,787.6710940988988,792.8680162319533,808.5321233904137,0,644.2
id_MEX_120,MEX,787.6710940988988,742.5346624415253,808.5321233904137,0,644.2
