x_log_signed_con_demand_per_capita__last,con_fossil_share_elec_pct__last,x_log_signed_con_solar__last,vulnerability_indicator
1.3269636470744055,61.9265780747488,3.153228122432516,0
1.444787419580712,64.93998708873778,3.7730563945781785,0
1.3382604542620122,69.33417816241835,2.685266794233765,0
1.3609462033623505,59.60343556374028,2.0897289498202913,1
1.3712512330283284,72.35415706934387,3.3008212522032405,1
1.3097123213001651,70.60676507158529,3.4490179872055013,1
1.405873663661821,72.99360003440817,5.251773346729388,1
1.3082139788247562,68.21317670772741,4.303087064872415,0
1.3203609753219554,65.32769622078128,2.173668548135526,1
1.2556777512972237,75.72794162319086,2.261771427584397,1
1.2774820130645654,59.89418192112453,1.6920819039783064,1
1.3524722042948605,65.71358189539932,3.349048204769798,1
1.3220449649501884,67.01428385662686,2.370798042025449,1
1.3253354413974436,62.64990666639294,3.389232247354976,0
1.2921367361384823,66.25582199136026,3.825389294800902,0
1.3512508919091883,67.89323727628793,3.415361752418757,1
1.404373456807977,75.19903939061864,4.545853516681532,1
1.3522869867042715,72.91458053229324,5.324089796634844,0
1.3829564428325098,65.98730853293371,4.220408425049175,1
1.3717621857004123,69.86100322045769,2.9488508599734864,0
1.409247393233047,64.94585533386633,3.1080875761917657,0
1.2276847493450878,70.09363598939085,3.71825467684465,1
1.386998927097662,60.20309816158148,4.729854657605276,0
1.391038761659726,62.91665391508669,2.8163684995430085,1
1.3628329561513264,65.05194412949227,1.9940952190201615,0
1.4217840480459694,62.93484710677609,3.330846767766866,0
1.3282058709215658,65.76889613173802,1.8948060725577196,1
1.3930511096300544,59.63771862610713,3.9013328358839825,0
1.3591089496177302,73.81811978993892,4.3659131146858225,0
1.3894918839044774,66.10078666483075,3.353057528304083,1
1.3867199886120565,64.59385125882291,3.834869053426968,0
1.3028468751532494,64.67921519723798,3.4194341004203106,1
1.2265359852936872,67.95002041568397,1.714895241692398,1
1.4006025605180432,62.84594700581508,2.6706422209429763,0
1.2811909489454545,71.43902084920535,2.8085211079167873,1
1.3400401365394985,66.17148619127612,3.243497031096437,0
1.2744993094720316,62.99067694348737,3.5676936916124453,1
1.3503391038943302,62.42075442984353,3.2272886899063096,0
1.3181051912803794,73.86013871839258,4.6042981885352985,0
1.2600014621636837,68.836752022122,3.840056102027368,0
1.344254643425998,67.00543984774988,4.28453923158512,0
1.3120292865677272,68.15204282136467,3.4756782136319906,1
1.3005191425415517,68.39675407922208,2.783431754451109,1
1.3480738111591508,62.865120605635056,3.064802012611075,1
1.4188824742856376,64.85538205028594,3.968338650341445,0
1.2441255538205345,66.71964399302287,4.227362491292643,1
1.382172698738563,80.00855272925773,4.189257680862773,1
1.3877850520792538,71.70774654790632,2.0125256733407175,1
1.3393515871979973,66.94944989358177,3.9006837509471426,0
1.295362567739547,76.6659768535567,4.8375898479482125,1
1.36003071282783,70.51369977522943,4.357955403194785,1
1.238102266843099,65.74794741768002,4.525873969610117,0
1.3353932096695091,68.57959526971429,3.8864272679827514,0
1.3451006568551016,60.64705002541611,4.1480261543780745,0
1.3908270097601405,63.67747882538525,3.536659192057525,0
1.2673635172631306,67.39803230078805,3.692029024092908,1
1.288270448844107,65.60901351659786,3.544356362527829,1
1.383074440788959,72.95625333750314,2.57552527415313,1
1.30180608474073,69.3279138756857,2.322186916067974,1
1.364274273250673,65.53784054349654,3.2464945319906633,0
1.2850366568740157,70.27146684174916,4.252860865351174,1
1.3777084806321485,62.87005109286659,3.6981389602571806,0
1.266406583476393,69.04161601791597,3.4713953275094815,0
1.2394746011580655,64.00779925622238,4.500894473670462,0
1.3637781972756913,63.236770910911034,3.888674230746557,0
1.432574121869978,71.63071441199898,4.63737392490035,0
1.3290430792875303,59.6160660693903,3.677306631743503,0
1.3037327572449464,70.82471549038404,4.188693204892185,0
1.2933716968650215,64.57837804842343,3.937927007320455,0
1.3632138505187497,68.34348745398673,3.225907694541739,0
1.4113961280870917,77.27759079653761,2.5539769036758955,1
1.2714353952136266,62.975001084210945,2.9756636376377905,0
1.374733497355476,63.38946998608921,3.135524687538175,0
1.2750575528643238,63.76661032557192,3.765189814596448,0
1.2853640976492466,64.35901799406932,4.995094691599757,0
1.4119561372777003,72.06831040546709,2.5581708830925605,1
1.3034160465234674,67.15206636320768,2.248481585101109,1
1.378866885293309,63.93431566840276,3.2162423971097813,0
1.4535173878092953,67.37986821180225,4.825361027507647,0
1.3467335410119017,64.27795676870632,4.279059716969817,0
1.2716982909732697,61.5806477528822,4.4271722328449625,0
1.295405348782241,64.49398766579507,2.9282627848649923,1
1.2656966065435105,65.43151002156351,5.356108598355469,0
1.3459118602348614,62.42121729180167,5.117483239196822,0
1.3690340968071866,77.54585656131876,3.6151660590034234,1
1.307047080412255,81.0380167096228,2.4158539093639098,1
1.253234434799832,64.2013677071143,3.760215689864918,1
1.37821297704172,66.09533669885847,1.2702627005702425,1
1.372364717423726,64.29406547670628,4.451975091830614,0
1.2930979581393427,72.38294285831853,3.952681049756264,1
1.3177190115591837,62.74762285654286,4.12813495709954,0
1.324872630943254,72.43942952515228,3.498952550073819,1
1.304847930080055,69.75928565782299,3.7351526294646895,1
1.2803083502485135,60.11597526515489,3.635899656090368,0
1.317885126532416,71.73652512643548,3.766759818021384,0
1.2213393110116757,68.20259431710004,3.73356010912805,1
1.325267665193356,74.53983242538153,3.939503808262946,1
1.3535376501157474,65.48132694048647,4.039036767241115,1
1.3060056964765376,67.02324855869276,3.610393501541079,0
1.3135828884691578,69.78692100430278,3.4359515562487077,1
1.3348433515694196,72.20385231107505,3.487310747627942,1
1.419247440426099,72.88666069950276,2.758837647955037,0
1.4377041672830764,66.6713794904126,4.038340492604219,0
1.3600287686781374,67.16041243931399,3.7526646008136386,0
1.3730420121349067,61.20959542713901,3.624428019756286,1
1.3190453258188433,63.83965891254151,5.047210972422878,0
1.3884092726903647,76.89179319695523,4.023779685084711,0
1.333817508682,69.51540315128965,3.905185881070834,0
1.4062302139813625,75.9880144419225,4.411683708735136,1
1.2837365173620443,57.58971133559325,3.071160560049212,1
1.339947220415801,63.24719049447059,2.602359628597979,1
1.4059814123526837,65.81266751556674,3.932898482553503,0
1.299575012952617,63.660331956946,3.381210202625411,0
1.4280574036826272,64.64849714498745,3.586181654335846,1
1.260255293484146,67.28551436844245,4.9574717932024335,0
1.3713709986013884,64.17025350704972,3.78523226477125,0
1.3354466706837258,67.56796397880083,4.965890261176517,1
1.3765374614473436,73.34050561372051,3.587214327628766,1
1.3238353149848476,62.85921075026761,3.0095995232176045,1
1.3600387872536472,66.4356369495147,4.658244246111602,0
1.2321844809050864,65.1098485286886,3.6092461285081385,0
1.2686969949833735,70.84309393395903,3.7480978706006662,1
1.3556648832140052,69.88424895935616,5.001070960009788,0
1.4109833856106115,67.2843825996919,3.3699304382064343,0
1.3952529706844727,66.88404330816228,2.694217434929453,1
1.2874451535712856,68.3625950965612,3.1943864782407623,1
1.3259714424038498,51.650403873016515,3.4605471499453175,0
1.3971848255807835,66.18091264636259,2.765029175541333,1
1.4079484441424432,61.367038290692406,3.9053224195603233,0
1.321111530646576,71.93135806317797,2.0975981211453534,1
1.38588448627338,69.5148652276881,1.617638286486848,1
1.3472132599259603,62.660693498365205,3.5455516183760474,0
1.2812063157497846,66.6614725187712,3.6040820856912608,1
1.2712756520220887,74.35017920526442,3.255473964556545,1
1.2834761644854669,60.16162022478552,4.2460844189905185,0
1.4203961187360838,73.4749414983418,3.284116815230464,0
1.3864725948336014,66.28498438618041,3.1029193078987176,0
1.3863855753664618,66.51339918415943,2.6848731870396367,1
1.4074179652234395,69.35675088151532,5.0330310874986175,0
1.4028402451708344,63.9332091884598,4.0033592770831605,0
1.2726977253988343,67.12485330874402,2.7003125597465605,1
1.2868847056730348,64.0832111553927,2.948711201674847,1
1.1983177657596795,71.4515366172365,3.4450714728696568,1
1.27129610875092,70.10379345565606,2.137104223591601,1
1.3654164578154602,66.35267025177122,3.594611636599492,0
1.293351096515865,65.17427180951331,4.040723807086447,1
1.1913697473411642,68.16719005535417,4.776572824749605,1
1.3391130862642031,65.69136590402427,4.3512972325693156,0
1.4338177366207188,65.95964612468426,4.903828747450456,0
1.3233717831718634,78.08974098980556,3.1089490772332535,1
1.2359267056415402,59.35319197478756,3.8691072534415274,0
1.2756932406209198,66.46895873874726,3.457252747963754,0
1.3294524952206364,65.09711012474632,3.199376426083976,0
1.2988776262651551,76.92025995377016,4.094357017913181,1
1.3559547712448996,73.03742167321107,4.894787243011562,0
1.263068468692698,66.88094162349391,4.0837949272538445,1
1.4060142011696215,65.14211588849923,4.1443494308013875,0
1.2714603535312845,79.49537883752511,3.7211291448108574,1
1.4410194448011429,58.64474038932632,3.471130517760081,0
1.3642729113687804,61.35898480154434,3.5330864594827776,0
1.4384827838923382,60.93419925546175,4.482790458430232,0
1.2855993180248095,68.38918838200912,3.338646017923552,0
1.2397188575294886,68.20177208869964,2.7156580841099505,1
1.3341007058704613,63.12278693423056,2.0925908092272953,0
1.4714083159372762,69.79307691278609,4.14039426889696,0
1.329694243543716,67.01047293972228,4.9278832236384265,0
1.3627114399046818,58.44714207646615,3.607475941819933,0
1.3555228655682825,70.92922920224255,3.3894084954489183,1
1.2848125251787916,64.90478311269403,3.343319546373003,1
1.3072955667779658,68.26012281761574,2.7946162364122875,1
1.3526404677321766,65.21460235555844,3.630878121484456,0
1.1474509728807616,65.95086833178415,3.761482384137788,1
1.3678152517859474,72.58702077427527,3.490092627684671,1
1.4214328307407078,61.93949201449999,2.7119393395767837,0
1.3035821079431549,65.71083050740118,3.5540771316365003,1
1.4099226915248235,65.27351150649991,3.86077666226694,0
1.291360866058883,58.03231154366462,2.002419379405688,0
1.3187241506003755,73.30923680822904,3.386130775423388,1
1.2808634651143154,64.88243551706326,4.239379951633149,1
1.2994296391950897,71.64926540574974,4.210327898564497,1
1.3385493531500627,59.36469949112136,3.6685459462217818,0
1.3074055772685744,71.66432853851487,4.599397663843881,1
1.2935325144841412,67.71450930203856,4.6460986964355655,1
1.318151425247235,66.87288143870514,4.585208822054529,1
1.461099814548405,71.4323841295015,3.592653140027838,0
1.369001218284467,66.73690734919687,3.781916313713142,0
1.2080141870127084,61.70383833153201,3.252652943771133,1
1.3702084683115463,67.11189071301632,5.0070490061245145,0
1.3384893813730174,72.11344921702917,3.863014132993644,1
1.3104110998551788,66.55018226600505,3.4662817008064355,1
1.2969847743837584,72.38458545672258,3.045995053856262,1
1.2627218347096287,63.030694465148954,3.665818123318047,0
1.3012106023858876,69.59647208101275,2.4295093806883745,1
1.4279350788724694,70.73299261673925,2.6444724636883215,1
1.420867533250047,60.60720544348749,3.921435492196967,0
1.359580629338938,69.21448957096894,3.080340612977704,1
1.399853152088376,65.99666317717309,3.9952120814338152,0
1.2479264221897632,72.53021952921675,4.00206991697549,1
1.2206741775510248,67.53358439175037,1.9637044417413765,1
1.3407721630613312,64.55483295829725,3.3978716861774942,0
1.330873325133111,63.743430729381416,4.070577870898968,0
1.3179130083845636,64.45737527557398,4.148812257977492,0
1.3642463745119031,69.26255468906746,3.4599483108400766,0
1.3159595038181895,73.30209816434378,2.49725952649609,1
